question,avg_abs_coef_normalized
Does the sentence relate to personal health or bodily functions?,0.632
Does the sentence convey a decision or choice made by the narrator?,0.632
Is hair or clothing mentioned in the input?,0.632
Does the input describe a moment of realization or epiphany?,0.631
Does the input discuss a collaboration or team effort?,0.631
Is the sentence describing an immediate reaction to an event or action?,0.63
Does the sentence convey a sense of urgency or haste?,0.63
Is the sentence related to fashion or personal style?,0.628
Does the sentence involve a personal discovery or insight?,0.628
Does the sentence describe a form of personal expression or creativity?,0.628
Does the sentence convey the narrator's sense of humor or wit?,0.628
Does the sentence describe a specific sensation or feeling?,0.628
Does the sentence involve a recounting of a childhood or adolescent memory?,0.626
Does the sentence include an account of a miscommunication or misunderstanding?,0.626
Does the sentence express the narrator's opinion or judgment about an event or character?,0.624
Does the text mention a form of alternative transportation?,0.624
Does the input involve a puzzle or problem to solve?,0.622
"Is there mention of a city, country, or geographic feature?",0.622
Does the text mention a piece of advice?,0.622
Does the text describe a hobby in detail?,0.62
"Is there a reference to a famous painting, sculpture, or artist?",0.62
Does the sentence contain a first-person narrative?,0.62
Is a form of self-improvement or personal development mentioned?,0.62
"Is there a reference to a myth, legend, or folklore?",0.619
Does the story mention a form of public transportation?,0.618
Does the story describe a ceremony or ritual?,0.617
Does the input include a philosophical or reflective thought?,0.617
Does the input involve a scientific experiment or research study?,0.616
Is the sentence part of a legal document or text?,0.615
Does the input involve a legal matter or law enforcement?,0.615
Does the input discuss an act of kindness or charity?,0.614
Does the text describe a personal space or room?,0.614
Does the sentence involve moral reasoning?,0.614
"Does the sentence express a moment of forgiveness, either giving or receiving?",0.614
Does the text involve a safety or security measure?,0.614
Does the sentence contain a negation?,0.614
Is there mention of a unique or unusual hobby?,0.614
Does the sentence describe a scientific experiment or finding?,0.613
Does the text describe an adventure or risky activity?,0.612
Is there an expression of love or affection?,0.612
Does the input mention a fear or phobia?,0.61
Is there mention of a traditional or cultural dish?,0.61
Does the sentence involve a description of adapting to a new situation or environment?,0.609
Does the sentence mention a specific type of clothing?,0.609
Does the sentence describe a social or cultural event?,0.608
Is the sentence expressing the narrator's response to art or music?,0.608
Does the sentence involve making a choice or decision?,0.607
Does the input describe a scenic view or panorama?,0.607
Does the text mention a plant or gardening?,0.607
Does the input discuss environmental concerns or issues?,0.606
Does the story include a portrayal of a city or urban setting?,0.605
Does the input express surprise or disbelief?,0.604
Does the sentence include a metaphor?,0.603
Does the input describe an encounter with a stranger?,0.603
Is a specific chemical or substance mentioned?,0.602
Does the input discuss travel or exploration?,0.601
Is a health or wellness practice described?,0.6
Does the sentence describe a significant life decision or change?,0.6
Is there a mention of a natural disaster?,0.6
Does the sentence involve an artistic or cultural event?,0.6
Is the input about overcoming a fear or challenge?,0.6
Does the sentence include a cultural reference or idiom?,0.598
Is a specific location described?,0.597
Is a historic landmark or monument described?,0.597
Does the story mention an act of charity or volunteering?,0.597
Is there a mention of a scientific fact or concept?,0.596
Is the sentence designed to persuade or convince?,0.596
Does the sentence express a sense of belonging or connection to a place or community?,0.595
Does the input include an expression of disappointment?,0.594
Does the input discuss a personal achievement or milestone?,0.594
Does the sentence mention a specific location or place?,0.593
Does the sentence describe a change in a physical or emotional state?,0.593
Does the input involve the creation or invention of something?,0.592
Does the text mention a form of digital communication?,0.591
Does the sentence involve a discussion about personal identity or self-perception?,0.59
Does the sentence reference a specific location or place?,0.59
Does the sentence describe a celebration or party?,0.59
Is the input about a scientific discovery or concept?,0.588
Does the sentence describe an interaction with technology?,0.588
Does the sentence describe a relationship between people?,0.588
Does the sentence describe a character in a story?,0.587
Does the text involve a personal challenge or goal being achieved?,0.587
Is there an expression of regret or apology?,0.586
Is the sentence describing a ritual or routine important to the narrator?,0.585
Is there mention of a public service or community project?,0.585
Is there a mention of a game or sport?,0.585
Does the input contain advice or recommendations?,0.585
Does the sentence include the mention of a specific time of day?,0.584
Does the input contain humor or sarcasm?,0.584
Does the text describe a form of transportation?,0.584
Is there a depiction of a public speaking or performance event?,0.583
Is the input about a practical joke or prank?,0.583
Is the sentence mentioning a pet or domestic animal?,0.583
Does the sentence use non-standard or slang language?,0.583
Is a specific location referred to in the input?,0.583
Does the input mention a political or social issue?,0.582
Does the sentence describe a recurring thought or obsession?,0.582
Does the story involve a personal project or creation?,0.581
Is a religious or spiritual practice mentioned?,0.58
Does the sentence express a philosophical or existential query or observation?,0.579
Is the sentence grammatically complex?,0.578
Is there a mention of a family heirloom or artifact?,0.578
Does the sentence describe a notable change in a personal or professional context?,0.578
Does the input discuss a technology trend or future prediction?,0.578
Does the story involve a pet or domestic animal?,0.578
Is there a reference to health and safety precautions?,0.577
Is the sentence part of a dialogue?,0.577
Does the sentence include an idiom?,0.577
Does the sentence involve a description of a physical activity or sport?,0.576
Is the sentence intended to be motivational or inspirational?,0.576
Is there a description of a meal?,0.576
Does the sentence mention a past or historical event?,0.576
Does the sentence include a metaphor or figurative language?,0.576
Does the sentence describe a moment of companionship or solitude?,0.576
Does the sentence involve a description of a daily or routine task?,0.576
Is there a mention of music or dancing?,0.576
Is a specific language or linguistic feature mentioned?,0.575
Does the sentence involve a discussion about personal or social values?,0.575
Does the sentence include a personal anecdote or story?,0.575
Is there a mention of a specific food or drink?,0.574
Does the sentence describe a moment of self-expression or assertiveness?,0.573
Does the sentence describe a challenge or obstacle overcome?,0.573
Is a health condition or disease mentioned?,0.572
Does the story mention an invention or discovery?,0.572
Does the input describe a nighttime setting?,0.572
Is there a reference to a childhood memory?,0.571
Does the input involve a financial planning or investment strategy?,0.571
Does the sentence involve a description of a journey or travel?,0.57
Is a meal being prepared or cooked?,0.57
Does the sentence involve a social interaction?,0.568
Does the sentence describe a personal accomplishment or achievement?,0.567
Does the sentence involve a mention of an object with sentimental or significant value?,0.567
Is the input related to physical injury or trauma?,0.567
Does the sentence involve a description of adapting to a new environment or situation?,0.566
Is the sentence related to sports or physical exercise?,0.566
Is a mythical or legendary story referenced?,0.566
Does the sentence involve a recounting of a memorable event or anecdote?,0.565
Is a health or fitness routine described?,0.565
Does the sentence describe an ethical dilemma?,0.564
Is a mathematical concept or number mentioned?,0.564
Does the sentence describe an artistic or creative activity?,0.564
Does the input mention a routine or daily activity?,0.564
Does the sentence include a narrative about facing fears or anxieties?,0.564
Does the sentence involve a description of a group activity or social gathering?,0.563
Is there a discussion of a social issue?,0.563
Does the sentence include an animal?,0.563
Does the sentence express a moment of defiance or resistance by the narrator?,0.562
Does the sentence describe a personal habit or routine?,0.562
Does the sentence involve an expression of personal values or beliefs?,0.562
Does the sentence describe a personal reflection or thought?,0.562
Does the story describe a work or school setting?,0.562
Is there a mention of reading or writing?,0.561
Does the sentence describe a dream or fantasy?,0.561
Does the sentence involve planning or decision-making?,0.561
Does the text include a planning or decision-making process?,0.561
Does the sentence describe a personal loss or mourning?,0.56
Is the sentence humorous because of a play on words?,0.56
Does the text involve a financial goal or saving?,0.559
Is the sentence describing a craft or DIY project?,0.559
Does the sentence describe a personal or social interaction that leads to a change or revelation?,0.559
Does the sentence describe a technological concept?,0.558
Does the story describe a building or architecture?,0.558
Does the sentence involve a description of a cultural or societal change?,0.558
Does the sentence involve a personal preference or taste?,0.556
Does the input express a political or social opinion?,0.556
Is the sentence describing a routine or habit?,0.555
Does the sentence express the narrator's attachment or detachment from material possessions?,0.555
Is the sentence describing a physical sensation experienced by the narrator?,0.555
Does the sentence involve a description of a hobby or leisure activity?,0.554
Does the sentence describe a lesson learned or insight gained by the narrator?,0.553
Does the sentence describe a scenic view or landscape?,0.551
Is the sentence describing a work or school-related task?,0.551
Is there a reference to a famous work of literature or author?,0.551
Is there a depiction of a relaxing or peaceful moment?,0.551
Is there mention of a personal challenge or obstacle overcome?,0.55
Does the sentence express regret or remorse for a past action?,0.55
Does the input discuss a craft or DIY project?,0.55
Is there mention of a family or personal relationship?,0.55
Is there a mention of a space or astronomical phenomenon?,0.55
Is the sentence expressing skepticism or disbelief towards something or someone?,0.55
Does the sentence describe an act of communication or interaction with others?,0.55
Does the input discuss a business or entrepreneurial venture?,0.55
Does the sentence involve a description of a personal or social tradition or custom?,0.549
Is the sentence related to health and fitness advice?,0.549
Is there a mention of a significant weather event?,0.549
Is the sentence conveying the narrator's admiration or respect for another character?,0.548
Does the input involve gardening or plant care?,0.548
Does the sentence describe an activity related to daily life or routine?,0.547
Does the story involve a retreat or getaway?,0.547
Does the sentence convey the narrator's interaction with nature or the outdoors?,0.546
Is a cultural event or festival mentioned?,0.546
Is an apology or expression of regret included?,0.546
Is there a description of a fantasy or imaginary scenario?,0.546
Does the sentence involve an artistic or creative activity?,0.546
Is there a discussion about ethical consumption or sustainability?,0.545
Does the story talk about a vacation or travel experience?,0.545
Is there a reference to physical health or fitness?,0.545
Does the input mention a specific animal species?,0.544
Is the sentence involving a risk or dare?,0.543
Does the text include a reference to a sport or athletic activity?,0.542
Is a moment of comedy or humor described?,0.542
Does the sentence describe an interaction that is significant to the narrator's development?,0.542
"Is there a reference to a diet, nutrition, or food choice?",0.541
Is there a mention of a place of worship or religious practice?,0.538
Does the sentence involve a recollection of a youthful experience?,0.538
Does the sentence describe a childhood experience?,0.538
Is there an expression of hope or optimism?,0.537
Does the sentence involve an act of creativity or artistic expression?,0.537
Is there a mention of a new beginning or start?,0.536
Is there a description of a landscape or natural scene?,0.536
Does the sentence involve a recount of a social or community event?,0.535
Does the input involve a coding or programming concept?,0.535
Does the sentence describe a personal or social celebration?,0.535
Does the text describe an act of kindness?,0.534
Does the input mention a form of artistic expression?,0.533
Does the sentence involve a discussion or depiction of a personal or social norm?,0.533
Is there mention of a personal hobby or interest?,0.532
Is a specific piece of technology or gadget mentioned?,0.531
Does the sentence involve an unexpected incident or accident?,0.53
Does the input discuss a health issue or concern?,0.53
Does the input include a reference to a book or movie?,0.53
Does the input involve animals or wildlife?,0.529
Is there an expression of pride or self-esteem?,0.529
Does the sentence express confidence or certainty?,0.528
Does the sentence describe a public or community event?,0.527
Is the input expressing gratitude or thanks?,0.525
Does the sentence include a description of a life-altering moment?,0.523
Is a sport or physical activity mentioned in the input?,0.523
Does the input reference an event or phenomenon in nature?,0.523
Does the story mention a form of entertainment?,0.522
Does the sentence involve a description of a personal crisis or urgent situation?,0.522
Is there a mention of a childhood aspiration or dream job?,0.522
Is a personal transformation or change described?,0.521
Is there a discussion of a psychological concept or mental health issue?,0.52
Is a moment of solitude or reflection described?,0.52
Does the sentence express hope or aspiration for the future?,0.519
Does the sentence express gratitude or appreciation for something or someone?,0.519
Does the input discuss a societal issue or social justice topic?,0.517
Is there a mention of a future plan or intention?,0.516
Does the sentence describe an interaction that affects personal relationships?,0.516
Is there a reference to a personal idol or role model?,0.515
Does the sentence describe a significant personal interaction?,0.515
Does the sentence involve a description of an emotional reaction to a surprise or unexpected event?,0.515
Does the sentence use future tense?,0.514
Does the sentence include a reflection on a change in societal or cultural conditions?,0.514
Is the sentence describing a significant change in the narrator's environment or circumstances?,0.514
Does the input involve a critique or review of something?,0.513
Is the input about a relationship with another person?,0.512
Does the input discuss a personal goal or aspiration?,0.512
Is a culinary experience or taste described?,0.512
Is there any mention of weather or climate conditions?,0.511
Does the story involve a game or sport?,0.511
Does the input mention a social or community issue?,0.51
Is a legal or ethical dilemma discussed?,0.51
Does the input involve a vehicle or mode of transportation?,0.51
Is a friendship being formed or ending?,0.508
Does the sentence describe an animal or involve animals?,0.507
Is a specific historical figure or leader mentioned?,0.507
Is a piece of technology described?,0.506
Is a historical event referenced?,0.504
Does the sentence involve a discussion about a moral or ethical dilemma?,0.503
Does the input describe a moment of teamwork or collaboration?,0.503
Does the sentence involve a discussion about a specific personal or professional achievement?,0.502
Does the sentence describe the narrator's creative process or artistic inspiration?,0.497
Does the story mention a craft or DIY project?,0.497
Does the sentence describe a form of entertainment or leisure activity?,0.497
Does the sentence describe an act of personal or social reconciliation or understanding?,0.497
Is there a description of a childhood toy or game?,0.497
Does the sentence express a personal fear or anxiety?,0.496
Is a supernatural or paranormal event discussed?,0.496
Is there a mention of a puzzle or mystery?,0.494
Does the sentence describe weather conditions?,0.494
Does the input discuss an environmental issue or conservation effort?,0.494
Is there mention of a religious or spiritual theme?,0.493
Does the sentence describe an experience of fear or danger?,0.493
Does the story mention a health issue or injury?,0.491
"Is there mention of a war, battle, or military event?",0.489
Does the sentence involve a personal story of a medical or health issue?,0.488
Does the sentence describe a landscape or natural feature?,0.487
Does the sentence describe a cultural practice or tradition?,0.486
Does the input involve a craft or handiwork project?,0.485
Does the input express empathy or compassion?,0.484
Does the sentence involve a description of a personal or family tradition?,0.482
Does the input discuss a moral or ethical dilemma?,0.481
Does the sentence describe a physical or mental health issue?,0.48
Does the sentence mention a mode of transportation?,0.477
Does the input involve a financial topic or economic concept?,0.477
"Is there mention of a concert, play, or live performance?",0.476
Does the sentence involve a discussion or mention of future aspirations or dreams?,0.476
Is there a discussion of a new skill or hobby being learned?,0.476
Does the sentence involve a health or wellness practice?,0.476
Is a form of leisure or relaxation described?,0.472
Is the sentence about a game or leisure activity?,0.472
Is cooking or a recipe discussed in the input?,0.466
Is a personal or family recipe mentioned?,0.466
Does the story mention a childhood memory?,0.465
Does the sentence describe a natural phenomenon?,0.463
Is there a discussion of a family tradition or custom?,0.463
"Is there a discussion about sleep, dreams, or rest?",0.462
Does the sentence describe a common fear or phobia?,0.462
Is a seasonal holiday or event described?,0.449
Does the input describe an animal?,0.436
Does the sentence describe a health-related topic or concern?,0.433
Is there a mention of a historical event?,0.43
Is the input expressing a wish or desire?,0.425
