question,avg_abs_coef_normalized
Is the input reflecting on a personal change or growth?,0.594
Is the input expressing gratitude or thanks?,0.592
Does the input contain a measurement?,0.589
Is there a mention of a fictional character or story?,0.587
Does the input include an expression of disappointment?,0.586
Is a health condition or disease mentioned?,0.585
Does the input involve a comparison of before and after?,0.584
Is technology or innovation discussed in the input?,0.582
Does the input involve planning or organizing?,0.581
Does the input discuss travel or exploration?,0.58
Does the story mention an act of charity or volunteering?,0.578
Is there a mention of a space or astronomical phenomenon?,0.578
Does the input mention a specific event or festival?,0.577
Does the input mention a change in a relationship?,0.571
Does the text include a planning or decision-making process?,0.568
Is there any mention of weather or climate conditions?,0.567
Is a family member mentioned?,0.567
Does the text talk about a hobby or pastime?,0.566
Does the input involve a fitness routine or exercise?,0.564
Does the sentence express confidence or certainty?,0.564
Is a personal belief or value expressed?,0.564
Is the input about an interaction with technology?,0.564
Is there a mention of a childhood aspiration or dream job?,0.559
Is there a discussion of a lesson learned or wisdom gained?,0.557
Does the sentence describe a scenic view or landscape?,0.555
Is the sentence referencing legal matters or rights?,0.554
Does the input discuss a personal goal or aspiration?,0.554
Is a personal goal or objective mentioned?,0.551
Is a specific scientific field or discipline mentioned?,0.549
Does the input discuss an environmental issue or conservation effort?,0.546
Does the input mention a fear or phobia?,0.545
Does the input mention a routine or daily activity?,0.542
Does the sentence describe an artistic or creative activity?,0.541
Does the text describe an act of kindness?,0.54
Does the input involve a scientific experiment or research study?,0.54
Does the input describe a moment of teamwork or collaboration?,0.539
Does the input contain an expression of anger?,0.537
Is the input related to food preparation?,0.536
Does the input contain humor or sarcasm?,0.534
Does the input describe a nighttime setting?,0.531
Does the story describe a building or architecture?,0.53
Does the input discuss a health-related issue or wellness?,0.529
Does the input describe an animal?,0.529
Is there a mention of a hobby or leisure activity?,0.528
Is there an expression of hope or optimism?,0.526
Is there a discussion of a technological problem or bug?,0.521
Is an environmental concern or issue mentioned?,0.521
Is there a mention of a gadget or piece of technology?,0.521
Does the input contain a question?,0.52
Does the input involve a debate or controversial topic?,0.52
Does the input discuss a natural disaster or emergency situation?,0.518
Is the input about a practical joke or prank?,0.518
Does the input discuss a personal achievement or milestone?,0.515
Is there mention of a personal challenge or obstacle overcome?,0.514
Does the sentence mention a unique or unusual experience?,0.509
Does the sentence include a cultural reference or idiom?,0.507
Does the input involve an outdoor activity or adventure?,0.506
Does the input involve a cultural festival or event?,0.505
Is a specific season described?,0.505
Does the input express disappointment or dissatisfaction?,0.505
"Is there mention of a political event, policy, or figure?",0.503
Is a friendship being formed or ending?,0.5
Is there an expression of pride or self-esteem?,0.494
Does the text describe a personal space or room?,0.489
Does the input express feelings of jealousy or envy?,0.486
Is a new technological advancement discussed?,0.485
Is there a description of a technological device or app?,0.482
Does the text describe a mode of communication?,0.482
Does the input mention a political or social issue?,0.481
Does the story describe a personal crisis or emergency?,0.477
Does the input describe a moment of realization or epiphany?,0.475
Is a professional or career-related decision discussed?,0.475
Does the text describe a form of therapy or healing?,0.474
Does the input discuss a philosophical or existential question?,0.472
Is the input related to a specific industry or profession?,0.47
Does the input describe a form of local or community service?,0.469
Is there a mention of a historical event?,0.467
Is the sentence involving a risk or dare?,0.467
Is there mention of a religious or spiritual theme?,0.466
Does the input involve a craft or handiwork project?,0.465
Does the story describe a ceremony or ritual?,0.463
Is there a mention of a new beginning or start?,0.463
Does the sentence express longing or nostalgia?,0.461
Is a historical event referenced?,0.461
Does the story involve a technological problem or solution?,0.46
Is a social gathering or event described?,0.46
Does the input express a political or social opinion?,0.46
Does the input include a comparison or metaphor?,0.46
"Is there a reference to a diet, nutrition, or food choice?",0.456
Is the sentence providing an explanation or rationale?,0.454
Is there a mention of a specific food or drink?,0.454
Is there a mention of a musical experience or concert?,0.452
Is there a mention of a tradition or custom?,0.451
Is a famous quote or saying referenced?,0.45
Does the input discuss a health issue or concern?,0.449
Is a seasonal holiday or event described?,0.448
Does the story mention a form of public transportation?,0.448
"Is there a mention of a geographical feature, like a mountain or river?",0.445
Does the story involve a pet or domestic animal?,0.443
Does the input contain repetition?,0.441
Is a significant historical period or event described?,0.441
Is there a depiction of a relaxing or peaceful moment?,0.44
Is there a mention of a hobby or interest?,0.439
Does the input involve a critique or review of something?,0.437
Is there an expression of loyalty or commitment?,0.436
Does the story mention an invention or discovery?,0.434
Is a religious or spiritual practice mentioned?,0.433
Does the text mention a form of manual labor or craft?,0.432
Does the input describe an emotional support or comfort?,0.432
Does the text include a reference to a sport or athletic activity?,0.431
Is a historic landmark or monument described?,0.431
Is there a depiction of a public speaking or performance event?,0.428
Does the input describe a moment of cultural shock or adaptation?,0.426
Does the text include a reflection on past events?,0.425
Does the input mention a personal insecurity or doubt?,0.424
Does the text include a reference to a famous painting or sculpture?,0.424
Is there a mention of a game or sport?,0.424
Does the input express surprise or disbelief?,0.422
Is a culinary experience or taste described?,0.418
"Is a natural phenomenon, like an eclipse or meteor shower, described?",0.418
Does the input discuss a personal limitation or weakness?,0.415
Is a historical figure or leader mentioned?,0.412
Is there a description of weather conditions?,0.408
Is an outdoor activity mentioned?,0.408
Does the sentence include a foreign word or phrase?,0.4
Is a form of leisure or relaxation described?,0.4
Is the input about a relationship with another person?,0.397
Is there a discussion of a new skill or hobby being learned?,0.39
Does the input describe an encounter with a stranger?,0.383
Is a health or wellness practice described?,0.381
Is the sentence describing a misunderstanding or confusion?,0.38
Is there an expression of fear or anxiety?,0.376
Does the sentence involve a health or wellness practice?,0.372
Is the input about a misunderstanding or assumption?,0.371
Does the story mention a childhood memory?,0.369
Is a moment of solitude or reflection described?,0.36
Does the text involve a safety or security measure?,0.359
Is there a description of a landscape or natural scene?,0.357
Is a fear or phobia expressed?,0.355
Does the story involve a retreat or getaway?,0.352
Does the story involve planning or preparing for an event?,0.349
Does the story involve a personal project or creation?,0.349
Does the input mention a cultural or societal norm?,0.344
Does the input discuss a moral or ethical dilemma?,0.338
Is there a discussion of a family tradition or custom?,0.335
Is there a reference to a cultural tradition or practice?,0.335
Is there a mention of a family heirloom or artifact?,0.332
Is an unexpected discovery or surprise mentioned?,0.325
Is a conflict or problem introduced?,0.325
Does the story mention a form of art or exhibition?,0.301
Does the story involve a form of meditation or mindfulness?,0.3
Does the story include a lesson or moral?,0.294
Does the story talk about an act of defiance or rebellion?,0.287
"Is there mention of a book, film, or television show?",0.283
Is a specific type of animal described?,0.281
Does the text include a prediction or expectation?,0.281
Is a personal philosophy or worldview expressed?,0.271
Does the input mention a social or community issue?,0.259
Is there a discussion about the future or predictions?,0.254
Is a personal transformation or change described?,0.252
Is a legal or ethical dilemma discussed?,0.248
Does the input involve a puzzle or problem to solve?,0.246
Does the text involve a personal challenge or goal being achieved?,0.243
Is there a discussion of a social issue?,0.243
Is there a description of a meal?,0.242
Is there a description of a unique or unusual event?,0.241
Does the input describe a problem or challenge?,0.241
Is an art or craft mentioned?,0.24
Is a cultural practice or tradition mentioned?,0.236
Is there a reference to a social media trend or online phenomenon?,0.232
Does the text include a reference to a past era or time period?,0.23
Is there an expression of surprise or unexpected outcome?,0.23
Is a piece of technology described?,0.223
"Is there a mention of a book, movie, or song?",0.22
Is the input about overcoming a fear or challenge?,0.219
Is a form of self-improvement or personal development mentioned?,0.216
Is there an expression of surprise?,0.214
Is a moment of comedy or humor described?,0.213
Is the input about a discovery or realization?,0.213
Is there a reference to a past event?,0.206
Is a moment of unexpected kindness or generosity described?,0.203
Does the input discuss a societal issue or social justice topic?,0.201
Does the sentence describe a challenge or obstacle overcome?,0.198
Is there a depiction of an urban or rural difference?,0.191
Is there a mention of a puzzle or mystery?,0.188
Does the input include a moment of self-discovery?,0.188
"Is there a reference to music, either listening or playing?",0.183
Is there an expression of frustration or annoyance?,0.181
Is a mythical or legendary story referenced?,0.18
Does the story involve a close call or narrow escape?,0.179
"Is there a discussion about sleep, dreams, or rest?",0.174
Is a form of non-verbal communication depicted?,0.168
Does the story include a portrayal of a city or urban setting?,0.165
Is there a depiction of a physical activity?,0.162
Is there a reference to a dream or aspiration?,0.162
Is there a reference to a famous work of literature or author?,0.161
Does the text involve a change in perspective or attitude?,0.157
Does the story talk about a personal sacrifice or compromise?,0.155
Does the story talk about a loss or letting go?,0.154
Is there a description of a fantasy or imaginary scenario?,0.153
Does the story talk about a misunderstanding or confusion?,0.153
"Is there a reference to space, astronomy, or the universe?",0.151
Is a superstition or myth discussed?,0.149
Is there a reference to a childhood memory?,0.146
Is there a depiction of a dream or nightmare?,0.143
Is there a description of a childhood toy or game?,0.142
Does the story mention a form of entertainment?,0.137
Is there a depiction of a routine or habit?,0.137
Is a cultural or societal norm discussed?,0.136
"Is there a reference to a myth, legend, or folklore?",0.134
Is there a comparison or metaphor?,0.134
Does the story talk about a personal challenge?,0.13
Does the story include an act of bravery or courage?,0.128
Is there a discussion of a psychological concept or mental health issue?,0.128
Is there a reference to a philosophical or ethical dilemma?,0.127
"Is there a reference to a famous painting, sculpture, or artist?",0.106
