question,avg_abs_coef_normalized
Does the sentence describe a confrontation or conflict?,0.612
Does the sentence convey the narrator's sense of humor or wit?,0.612
Does the input describe a nighttime setting?,0.612
Is a specific scientific field or discipline mentioned?,0.612
Does the text mention a fitness or sports achievement?,0.611
Does the input involve a cultural festival or event?,0.61
Does the sentence describe a specific sensation or feeling?,0.61
Does the sentence involve moral reasoning?,0.609
Does the sentence describe a moment of personal or social conflict resolution?,0.609
Does the text involve a financial challenge or setback?,0.608
Does the sentence include a cultural reference or idiom?,0.608
Is there an expression of regret or apology?,0.606
Does the sentence describe an experience of learning or gaining new knowledge?,0.606
Is the input related to physical injury or trauma?,0.605
Does the sentence involve the use of technology or digital communication?,0.604
Does the sentence involve a description of physical environment or setting?,0.604
Does the input involve a comparison of before and after?,0.603
Does the sentence involve a description of adapting to a new situation or environment?,0.603
Does the input involve a legal matter or law enforcement?,0.603
Is there an expression of loyalty or commitment?,0.602
Is the sentence related to environmental issues?,0.602
Does the story describe a ceremony or ritual?,0.602
Does the sentence relate to personal health or bodily functions?,0.602
Does the sentence describe a hypothetical scenario?,0.601
Does the text describe a personal space or room?,0.601
"Is there a reference to a famous painting, sculpture, or artist?",0.601
Is a specific form of literature or writing style mentioned?,0.601
Does the input discuss an act of kindness or charity?,0.6
Does the sentence involve a recounting of a childhood or adolescent memory?,0.6
Is the sentence humorous?,0.6
Does the sentence include a metaphor?,0.599
Does the sentence describe a form of personal expression or creativity?,0.599
Does the text mention a piece of advice?,0.599
Does the sentence convey a decision or choice made by the narrator?,0.599
Does the input involve an outdoor activity or adventure?,0.598
Does the sentence describe a common superstition or myth?,0.597
Is the input about a discovery or realization?,0.597
Is a social gathering or event described?,0.596
Does the input mention a change in a relationship?,0.595
Is the sentence mentioning a pet or domestic animal?,0.595
Is an unexpected discovery or surprise mentioned?,0.595
Does the sentence contain a first-person narrative?,0.595
Does the input discuss environmental concerns or issues?,0.595
Does the sentence convey a sense of urgency or haste?,0.594
Does the input contain an expression of anger?,0.594
Does the sentence involve a safety or security concern?,0.594
Does the story include a portrayal of a city or urban setting?,0.594
Is the sentence expressing the narrator's response to art or music?,0.594
"Is there a reference to a myth, legend, or folklore?",0.594
Does the story mention an act of charity or volunteering?,0.592
Does the story describe a work or school setting?,0.592
Is the sentence intended to evoke nostalgia?,0.592
Does the sentence involve a cultural or traditional practice?,0.592
Does the text involve a safety or security measure?,0.592
Does the sentence involve making a choice or decision?,0.591
Is the sentence abstract rather than concrete?,0.591
Does the sentence express regret or remorse for a past action?,0.591
Does the sentence involve a description of overcoming a personal obstacle?,0.591
Is there a reference to a childhood memory?,0.589
Does the sentence describe a social or cultural event?,0.587
Is there an expression of love or affection?,0.586
Does the sentence involve an artistic or cultural event?,0.585
Does the text describe a form of transportation?,0.585
Does the story mention a form of public transportation?,0.584
Is there a mention of a natural disaster?,0.583
Does the sentence express a sense of belonging or connection to a place or community?,0.582
Does the sentence involve a description of a group activity or social gathering?,0.581
Does the sentence include a reference to a cultural or societal norm?,0.581
Is there any mention of a family member?,0.58
Does the sentence contain a negation?,0.58
Is the input about a scientific discovery or concept?,0.58
Is the sentence describing an immediate reaction to an event or action?,0.58
Does the input mention a fear or phobia?,0.579
Does the sentence describe an act of creativity or imagination?,0.579
Does the sentence include a metaphor or figurative language?,0.579
Does the input describe a moment of cultural shock or adaptation?,0.578
Does the sentence use non-standard or slang language?,0.577
Is there a mention of a game or sport?,0.575
Does the sentence involve a description of a physical activity or sport?,0.575
Is there a mention of a physical object or item?,0.575
Does the input discuss a craft or DIY project?,0.573
Does the input discuss a technology trend or future prediction?,0.573
Is the sentence part of a legal document or text?,0.573
Does the sentence involve a mention of an unusual or rare event?,0.572
Is there mention of a unique or unusual hobby?,0.571
Does the text mention a form of digital communication?,0.571
Does the sentence involve a decision-making process?,0.571
Is a specific chemical or substance mentioned?,0.57
Is a health or fitness routine described?,0.57
Does the input involve a scientific experiment or research study?,0.57
Is a specific location described?,0.57
Is a health condition or disease mentioned?,0.569
Is a specific location referred to in the input?,0.569
Does the sentence describe a physical action?,0.569
Does the sentence describe a scenic view or landscape?,0.569
Does the input involve a puzzle or problem to solve?,0.569
Does the sentence describe a recurring thought or obsession?,0.569
Is there mention of a traditional or cultural dish?,0.567
Is there a mention of music or dancing?,0.567
Does the input mention a political or social issue?,0.566
Is a specific language or linguistic feature mentioned?,0.566
Does the sentence describe a moment of surprise or unexpected turn of events?,0.566
Is there a mention of a family heirloom or artifact?,0.566
Does the sentence involve a description of a daily or routine task?,0.564
Is a historical figure or leader mentioned?,0.564
Does the sentence involve a recollection of a youthful experience?,0.564
Does the story describe a building or architecture?,0.564
Is there mention of a public service or community project?,0.563
Is there a reference to health and safety precautions?,0.563
Is a meal being prepared or cooked?,0.562
Does the sentence describe a scientific experiment or finding?,0.562
Is there a mention of a scientific fact or concept?,0.562
Does the input include a philosophical or reflective thought?,0.562
Does the input contain advice or recommendations?,0.561
Does the sentence reference a specific location or place?,0.561
Does the sentence describe a moment of self-expression or assertiveness?,0.56
Does the input describe an encounter with a stranger?,0.559
Is there a description of a meal?,0.558
Does the sentence describe an interaction involving negotiation or compromise?,0.558
Is the sentence describing a routine or habit?,0.558
Does the sentence describe an ethical dilemma?,0.558
Is a religious or spiritual practice mentioned?,0.558
Is the sentence describing a physical sensation experienced by the narrator?,0.558
Is there a depiction of a public speaking or performance event?,0.558
Does the text include a reference to a sport or athletic activity?,0.557
Does the input involve the creation or invention of something?,0.557
Is a historic landmark or monument described?,0.556
Does the sentence describe a childhood experience?,0.556
Does the sentence involve a discussion about personal identity or self-perception?,0.555
Is the sentence describing a craft or DIY project?,0.555
Is there a mention of a specific food or drink?,0.555
Does the input involve a financial transaction or discussion?,0.555
Does the sentence include an idiom?,0.554
Does the sentence mention a specific location or place?,0.554
Does the sentence describe a notable change in a personal or professional context?,0.554
Is a health or wellness practice described?,0.553
Does the input mention a routine or daily activity?,0.553
Does the input discuss travel or exploration?,0.552
Is the input about a social or community event?,0.552
Does the sentence mention a past or historical event?,0.552
Does the sentence involve a description of a cultural or societal change?,0.551
Does the text include a planning or decision-making process?,0.55
Is the sentence designed to persuade or convince?,0.549
Is there a mention of reading or writing?,0.549
Does the story mention an invention or discovery?,0.549
Does the sentence express the narrator's attachment or detachment from material possessions?,0.548
Is the input about a practical joke or prank?,0.548
Does the input involve a historical event?,0.547
Is the sentence grammatically complex?,0.546
Does the input involve a fitness routine or exercise?,0.546
Does the sentence describe a moment of companionship or solitude?,0.546
Does the input mention any form of art or artistic activity?,0.546
Does the story involve a close call or narrow escape?,0.546
Is a mathematical concept or number mentioned?,0.545
Is the sentence related to sports or physical exercise?,0.544
Does the input express surprise or disbelief?,0.544
Does the sentence involve a description of adapting to a new environment or situation?,0.544
Does the sentence include a personal anecdote or story?,0.544
Is a form of self-improvement or personal development mentioned?,0.542
Is the sentence describing a work or school-related task?,0.542
Does the sentence describe a dream or fantasy?,0.542
Is a cultural event or festival mentioned?,0.541
Does the text involve a personal challenge or goal being achieved?,0.541
Does the sentence include an account of a miscommunication or misunderstanding?,0.541
Does the sentence involve a mention of an object with sentimental or significant value?,0.541
Does the input express a political or social opinion?,0.54
Does the input involve a financial planning or investment strategy?,0.54
Does the input include an expression of disappointment?,0.54
Does the sentence describe a personal loss or mourning?,0.54
Does the story involve a pet or domestic animal?,0.539
Does the input involve gardening or plant care?,0.538
Does the sentence describe a technological concept?,0.537
Does the story involve a personal project or creation?,0.536
Does the sentence express a philosophical or existential query or observation?,0.536
Does the sentence express the narrator's opinion or judgment about an event or character?,0.535
Does the sentence describe a celebration or party?,0.535
Does the input discuss a business or entrepreneurial venture?,0.535
Does the sentence involve a discussion about personal or social values?,0.534
Is the sentence part of a dialogue?,0.534
Does the sentence involve planning or decision-making?,0.533
Does the sentence contain a humorous or ironic comment?,0.533
Does the input involve a coding or programming concept?,0.533
Does the sentence mention a specific location?,0.532
Is the sentence intended to be motivational or inspirational?,0.532
Is the sentence related to health and fitness advice?,0.532
Does the input include a reference to a book or movie?,0.531
Is the sentence involving a risk or dare?,0.531
Does the sentence express longing or nostalgia?,0.531
Is the sentence humorous because of a play on words?,0.53
Does the sentence include a narrative about facing fears or anxieties?,0.529
Is a moment of comedy or humor described?,0.529
Does the sentence describe an outdoor activity or scene?,0.529
Does the sentence describe a significant life decision or change?,0.528
Does the sentence use future tense?,0.528
Does the sentence involve an artistic or creative activity?,0.527
Does the sentence describe a personal habit or routine?,0.527
Does the sentence involve a description of a personal or social tradition or custom?,0.527
Does the sentence involve physical movement or action?,0.524
Does the sentence involve a recounting of a memorable event or anecdote?,0.524
Is a legal or ethical dilemma discussed?,0.524
Does the sentence involve the description of a celebration or festive event?,0.524
Does the sentence describe an activity related to daily life or routine?,0.523
Is there a description of a fantasy or imaginary scenario?,0.523
Does the text involve a financial goal or saving?,0.523
Does the sentence involve a description of a hobby or leisure activity?,0.523
Does the sentence contain words with strong visual imagery?,0.523
Is there a mention of a space or astronomical phenomenon?,0.523
Is there a mention of a future plan or intention?,0.522
Is the sentence conveying the narrator's admiration or respect for another character?,0.522
Is there a mention of a new beginning or start?,0.522
Does the sentence include a reflection on a change in societal or cultural conditions?,0.522
Does the sentence describe an experience of personal or social isolation?,0.522
Does the story involve a retreat or getaway?,0.521
Does the input discuss a societal issue or social justice topic?,0.521
Is there a mention of a significant weather event?,0.521
Does the sentence describe a cultural or traditional practice?,0.521
Is the sentence describing a misunderstanding or confusion?,0.52
Is a specific piece of technology or gadget mentioned?,0.52
Does the sentence describe a change in a physical or emotional state?,0.52
Is the sentence describing a ritual or routine important to the narrator?,0.519
Is the input about overcoming a fear or challenge?,0.519
Is there a description of a unique or unusual event?,0.519
Does the text describe an act of kindness?,0.518
Is there mention of a family or personal relationship?,0.517
Does the sentence involve a recount of a social or community event?,0.517
Does the input contain humor or sarcasm?,0.516
Is there a mention of a childhood aspiration or dream job?,0.516
Does the sentence involve an expression of personal values or beliefs?,0.516
Is an apology or expression of regret included?,0.516
Does the sentence involve a personal discovery or insight?,0.515
Is the sentence expressing a wish or desire for something to be different?,0.515
Does the sentence involve a discussion or mention of personal preferences?,0.513
Does the sentence express a moment of defiance or resistance by the narrator?,0.512
Does the sentence describe a learning experience or educational moment?,0.512
Does the sentence describe a challenge or obstacle overcome?,0.512
Does the sentence express confidence or certainty?,0.511
Does the sentence express hope or aspiration for the future?,0.511
Is a supernatural or paranormal event discussed?,0.511
Does the input involve a craft or handiwork project?,0.51
Is the input related to food preparation?,0.51
Does the sentence involve a description of a journey or travel?,0.51
Is there a discussion of a social issue?,0.51
Does the sentence involve a description of a personal crisis or urgent situation?,0.51
Is a mythical or legendary story referenced?,0.51
Is the sentence describing a moment of realization or epiphany?,0.51
Is there mention of a religious or spiritual theme?,0.509
Does the input mention a specific animal species?,0.509
Does the sentence describe a relationship between people?,0.509
Is there a reference to physical health or fitness?,0.509
"Is there mention of a book, film, or television show?",0.508
Is there a mention of a musical experience or concert?,0.508
Does the sentence involve an act of creativity or artistic expression?,0.508
Does the story mention a craft or DIY project?,0.508
Does the input involve a vehicle or mode of transportation?,0.507
Does the sentence include an animal?,0.506
Does the story talk about a vacation or travel experience?,0.506
Does the sentence describe a moment of confusion or uncertainty?,0.505
Does the sentence describe an interaction with technology?,0.505
Does the sentence describe a lesson learned or insight gained by the narrator?,0.505
Is there a depiction of a relaxing or peaceful moment?,0.504
Is the sentence expressing skepticism or disbelief towards something or someone?,0.504
Is a sport or physical activity mentioned in the input?,0.504
Does the sentence involve a discussion about a moral or ethical dilemma?,0.504
Is there mention of a personal challenge or obstacle overcome?,0.504
Does the sentence require inferential reasoning to understand?,0.504
Does the sentence contain a question that encourages reflection?,0.504
Does the sentence describe a significant personal interaction?,0.503
Does the story mention a childhood memory?,0.503
Is there a mention of a place of worship or religious practice?,0.503
Does the input discuss a health issue or concern?,0.502
Does the sentence involve a personal preference or taste?,0.501
Does the sentence describe an unusual or unexpected event?,0.5
Does the sentence describe an experience of personal or social change?,0.499
Does the sentence describe weather conditions?,0.499
Does the sentence mention a unique or unusual experience?,0.499
"Is a natural phenomenon, like an eclipse or meteor shower, described?",0.499
"Is there a reference to a diet, nutrition, or food choice?",0.498
Does the sentence describe a personal or social interaction that leads to a change or revelation?,0.498
Does the sentence discuss a journey or travel experience?,0.498
Is an outdoor activity mentioned?,0.498
Does the sentence involve a personal story of a medical or health issue?,0.498
Does the sentence describe an act of communication or interaction with others?,0.497
Is the sentence a well-known quote or saying?,0.497
Does the input express empathy or compassion?,0.497
Does the sentence describe a scenario involving a cultural or social adjustment?,0.497
Does the sentence involve a social or interpersonal interaction?,0.497
Is there a description of a landscape or natural scene?,0.497
Does the sentence involve a social interaction?,0.496
Is there any mention of weather or climate conditions?,0.496
Does the input involve a critique or review of something?,0.496
Does the sentence express gratitude or appreciation for something or someone?,0.495
Does the sentence describe an interaction that is significant to the narrator's development?,0.495
Is the sentence describing a significant change in the narrator's environment or circumstances?,0.495
Is there an expression of pride or self-esteem?,0.495
Does the input describe a moment of teamwork or collaboration?,0.494
"Is there a reference to space, astronomy, or the universe?",0.494
Is there a reference to a cultural tradition or practice?,0.493
Does the sentence discuss a past relationship?,0.493
Does the sentence include a description of a life-altering moment?,0.493
"Is there mention of a war, battle, or military event?",0.492
Is there a discussion about politics or government?,0.492
Is the input expressing gratitude or thanks?,0.492
Is the input about a relationship with another person?,0.492
Does the sentence use metaphor to describe emotions?,0.492
Does the input describe a moment of realization or epiphany?,0.491
Is there mention of a personal hobby or interest?,0.49
Does the sentence describe a personal preference?,0.49
Is the sentence intentionally vague or ambiguous?,0.49
Does the input reference an event or phenomenon in nature?,0.489
Does the sentence describe an embarrassing or awkward situation?,0.489
Is a friendship being formed or ending?,0.489
Does the sentence involve a mention of an event or occurrence that had unexpected outcomes?,0.489
Does the input discuss a health-related issue or wellness?,0.488
Does the input express disappointment or dissatisfaction?,0.487
Does the sentence describe a creative or artistic activity?,0.487
Is there a mention of a tradition or custom?,0.487
Does the input mention a form of artistic expression?,0.487
Does the sentence describe a moment of interaction with nature or the outdoors?,0.487
Does the sentence involve a narrative about overcoming a personal or emotional challenge?,0.487
Does the sentence describe a significant personal realization or epiphany?,0.487
Does the sentence describe a personal accomplishment or achievement?,0.487
Does the sentence describe an unusual or quirky scenario?,0.486
Does the story talk about a loss or letting go?,0.486
Is a professional or career-related decision discussed?,0.485
Is there an expression of hope or optimism?,0.485
Does the sentence describe an act of self-improvement or personal growth?,0.485
Is there a reference to a famous work of literature or author?,0.484
Does the sentence describe a personal or social celebration?,0.483
Is there a depiction of a dream or nightmare?,0.482
Does the sentence describe a personal reflection or thought?,0.482
Does the input describe a scientific experiment or discovery?,0.482
Does the sentence describe an artistic or creative activity?,0.482
Is the sentence expressing confusion or uncertainty?,0.482
Is there a mention of a gadget or piece of technology?,0.481
Does the input mention a social or community issue?,0.481
Is there a discussion about ethical consumption or sustainability?,0.481
Is there a depiction of a physical activity?,0.48
Does the sentence involve a description of a personal or social dilemma?,0.48
Does the story involve a game or sport?,0.48
Does the input discuss an environmental issue or conservation effort?,0.479
Does the sentence describe a landscape or natural feature?,0.479
Is there an expression of surprise?,0.478
Does the story mention a form of entertainment?,0.478
Is a scientific concept or theory mentioned?,0.477
Is there a reference to a personal idol or role model?,0.477
Is a family member mentioned?,0.477
Is there a mention of a puzzle or mystery?,0.476
Does the sentence describe a form of entertainment or leisure activity?,0.476
Does the sentence convey the narrator's interaction with nature or the outdoors?,0.476
Is the input about an interaction with technology?,0.476
Does the sentence involve an unexpected incident or accident?,0.475
Is a culinary experience or taste described?,0.475
Does the sentence involve an act of personal or community significance?,0.474
Does the sentence describe a moment of realization or decision?,0.473
Does the input discuss a moral or ethical dilemma?,0.473
Does the input mention a cultural or societal norm?,0.473
Does the story talk about a personal sacrifice or compromise?,0.472
Does the sentence describe a natural phenomenon?,0.472
Is there a discussion of a new skill or hobby being learned?,0.472
Is there a description of a childhood toy or game?,0.471
Does the sentence describe a public or community event?,0.47
Does the sentence involve a discussion about a specific personal or professional achievement?,0.47
Does the input express feelings of sadness?,0.47
Does the sentence describe the narrator's creative process or artistic inspiration?,0.469
Does the input involve animals or wildlife?,0.468
Does the sentence describe an act of personal or social reconciliation or understanding?,0.467
Does the input discuss a personal goal or aspiration?,0.467
Does the input discuss a personal achievement or milestone?,0.466
Is a new technological advancement discussed?,0.466
Is the sentence part of a narrative?,0.465
Is a moment of solitude or reflection described?,0.465
Is the sentence giving advice or a suggestion?,0.465
Does the sentence involve a health or wellness practice?,0.464
"Is there a discussion about sleep, dreams, or rest?",0.464
Does the sentence describe a physical or mental health issue?,0.463
Does the input contain a question?,0.463
Does the sentence describe an interaction with an animal?,0.462
Does the sentence mention a mode of transportation?,0.462
Does the story mention a health issue or injury?,0.462
Is the sentence expressing admiration or praise?,0.461
Does the sentence describe an event involving learning or personal growth?,0.461
Does the sentence describe a personal or intimate moment?,0.461
Is a personal transformation or change described?,0.46
"Is there a reference to music, either listening or playing?",0.46
Is the sentence describing a moment of vulnerability or weakness?,0.459
Does the sentence describe a travel experience?,0.459
Is there a mention of an environmental or ecological practice?,0.459
Does the sentence use past tense?,0.458
Does the sentence involve a reflection on a relationship with a significant other or family member?,0.458
Is an art or craft mentioned?,0.455
Is a specific historical figure or leader mentioned?,0.455
Does the input describe an old habit or something the narrator wishes to change?,0.453
Does the sentence involve a description of a personal or family tradition?,0.453
Is a personal philosophy or worldview expressed?,0.453
Is a personal or family recipe mentioned?,0.453
Is there a discussion of a psychological concept or mental health issue?,0.452
Is a personal belief or value expressed?,0.451
Does the input involve a financial topic or economic concept?,0.45
Is there a discussion of a family tradition or custom?,0.45
Does the sentence describe a significant personal moment or life event?,0.45
Is a historical event referenced?,0.45
Does the sentence describe an animal or involve animals?,0.45
Does the sentence describe a common fear or phobia?,0.448
Does the sentence describe a moment of personal insight or realization?,0.447
"Is there mention of a concert, play, or live performance?",0.446
Does the sentence describe a character in a story?,0.446
Does the sentence involve a personal reflection on a past decision?,0.446
Is there a discussion of a lesson learned or wisdom gained?,0.445
Is a conflict or problem introduced?,0.445
"Is there mention of a political event, policy, or figure?",0.443
Is cooking or a recipe discussed in the input?,0.443
Is a specific type of animal described?,0.442
Does the input involve a game or recreational activity?,0.442
Is the sentence about a game or leisure activity?,0.441
Is there a description of weather conditions?,0.441
Is technology or innovation discussed in the input?,0.441
Is the input reflecting on a personal change or growth?,0.44
Does the sentence describe an experience of fear or danger?,0.44
Does the sentence express anger or frustration directed at a specific situation or person?,0.44
Does the sentence describe an experience involving fear or anxiety?,0.44
Does the sentence involve a description of an emotional reaction to a surprise or unexpected event?,0.44
Does the story involve planning or preparing for an event?,0.44
Does the sentence express a personal fear or anxiety?,0.439
Is the input mentioning an animal?,0.439
Does the text talk about a hobby or pastime?,0.439
Does the sentence involve a discussion or mention of future aspirations or dreams?,0.439
Does the sentence involve a discussion or depiction of a personal or social norm?,0.438
Does the sentence use a common cliché?,0.438
Is a seasonal holiday or event described?,0.436
"Is the sentence reflective, involving self-analysis or introspection?",0.435
Is the sentence focused on a memory from the past?,0.435
Is a piece of technology described?,0.435
Is a moment of unexpected kindness or generosity described?,0.433
Is the input expressing a wish or desire?,0.433
Does the story talk about a misunderstanding or confusion?,0.433
Is there any mention of a dream or aspiration?,0.432
Does the sentence describe an interaction that affects personal relationships?,0.432
Is there a mention of a hobby or leisure activity?,0.431
Does the input express gratitude?,0.43
Does the sentence involve a description of a personal achievement or recognition?,0.429
Does the sentence describe a cultural practice or tradition?,0.429
Does the input mention a personal insecurity or doubt?,0.428
Does the sentence discuss an episode of self-discovery or identity exploration?,0.428
Is there a discussion about the future or predictions?,0.427
Is there a reference to a philosophical or ethical dilemma?,0.426
Does the story talk about a personal challenge?,0.426
Is the sentence emotionally positive?,0.424
Does the sentence describe a moment of personal growth or development?,0.424
Does the input describe a problem or challenge?,0.424
Does the sentence describe an act of personal or social adaptation or adjustment?,0.423
Does the story mention a form of art or exhibition?,0.422
Is the sentence highlighting a cultural or societal norm that impacts the narrator?,0.422
Does the sentence involve a discussion about a personal or social challenge or problem?,0.42
Does the input describe an emotional support or comfort?,0.417
Is a holiday or celebration mentioned?,0.414
Does the sentence involve a description of an interpersonal misunderstanding or dispute?,0.413
Does the sentence involve a reflection on a past event that has had a lasting impact?,0.412
Does the sentence describe a personal or social conflict?,0.41
Does the input include a moment of self-discovery?,0.409
Is an environmental concern or issue mentioned?,0.408
Is a form of leisure or relaxation described?,0.407
Does the sentence describe an interaction that leads to a misunderstanding or conflict?,0.406
Does the sentence describe a moment of self-awareness or personal growth?,0.405
Is there a mention of a historical event?,0.402
Does the sentence describe a health-related topic or concern?,0.4
Does the sentence describe a personal challenge or adversity faced?,0.399
Is there an expression of fear or anxiety?,0.398
Does the input discuss a personal limitation or weakness?,0.396
Is there a first-person pronoun in the input?,0.394
Is a fear or phobia expressed?,0.394
Does the input describe an animal?,0.393
Is a holiday or celebration referenced in the input?,0.389
Does the story include a lesson or moral?,0.388
Is a cultural or societal norm discussed?,0.387
Is a cultural practice or tradition mentioned?,0.386
Does the sentence describe an emotional response to a specific event?,0.384
Is there an expression of frustration or annoyance?,0.382
Does the story involve a technological problem or solution?,0.38
Does the sentence contain a description of an interaction that led to a misunderstanding or conflict?,0.379
Does the sentence involve a personal conflict or dilemma?,0.377
Does the sentence describe a personal crisis or a moment of self-doubt?,0.376
Does the sentence describe a personal achievement or milestone?,0.376
