question,avg_abs_coef_normalized
Is the input about overcoming a fear or challenge?,0.668
Does the text describe a journey?,0.667
Is the sentence a command?,0.663
Is a personal preference or taste described?,0.662
Does the sentence describe a physical action?,0.66
Does the input contain a measurement?,0.658
Is there a mention of a specific musical or artistic genre?,0.656
"Does the sentence describe a physical sensation (e.g., touch, taste)?",0.656
Is the sentence part of a poem or song?,0.654
Is an apology or expression of regret included?,0.653
Does the sentence use irony or sarcasm?,0.651
Does the sentence contain a mention of a specific social or community role?,0.65
Does the sentence describe a change in personal belief or perspective?,0.649
Does the input involve a philosophical question or theory?,0.649
Is there a mention of a competition or contest?,0.649
Is a specific color or pattern described?,0.649
Does the text describe a personal space or room?,0.649
Does the sentence describe a character's physical appearance or attire?,0.648
Does the sentence use a unique or unusual word?,0.648
Is a legal or ethical dilemma discussed?,0.648
Does the input include a philosophical or reflective thought?,0.645
Does the text involve a safety or security measure?,0.645
Is the input about a practical joke or prank?,0.644
Does the input include dialogue between characters?,0.644
Does the sentence involve a conflict or disagreement?,0.644
Is the sentence related to politics or government?,0.641
Does the sentence mention a specific educational or academic activity?,0.639
Does the sentence involve receiving or giving advice?,0.637
Does the sentence involve time travel or hypothetical future scenarios?,0.634
Is the sentence part of a mystery or puzzle?,0.633
Is the sentence providing an explanation or rationale?,0.632
Does the sentence contain a cultural reference?,0.631
Does the input contain an expression of anger?,0.63
Is the sentence describing a significant change in the narrator's environment or circumstances?,0.63
Does the story mention an invention or discovery?,0.629
Does the input involve a debate or controversial topic?,0.628
Does the input discuss a medical treatment or procedure?,0.627
Does the text include a prediction or expectation?,0.626
Does the text mention a celebrity or public figure?,0.625
Does the sentence use non-standard or slang language?,0.625
Does the sentence contain a time duration?,0.623
Does the sentence mention a holiday or celebration?,0.623
Does the sentence use metaphor to describe emotions?,0.618
"Is there mention of a city, country, or geographic feature?",0.609
Does the input mention a personal insecurity or doubt?,0.609
Does the sentence involve spatial reasoning?,0.609
Is the sentence about a game or leisure activity?,0.608
Does the story involve a close call or narrow escape?,0.607
"Is there a reference to a famous painting, sculpture, or artist?",0.606
Does the sentence describe an economic concept or issue?,0.606
Is there mention of a unique or unusual hobby?,0.605
Does the input describe a sensory experience?,0.604
Is the sentence expressing skepticism or disbelief towards something or someone?,0.601
Does the sentence involve a specific crafting or construction activity?,0.6
Is there a depiction of a public speaking or performance event?,0.598
Does the text mention a piece of advice?,0.597
Does the sentence include dialogue?,0.596
Does the story talk about a friendship or relationship ending?,0.595
Is a superstition or myth discussed?,0.594
Does the sentence describe a physical sensation?,0.593
Does the sentence describe a relationship between people?,0.592
Is there a reference to a specific professional field or discipline?,0.592
Is there a mention of a specific behavior or mannerism?,0.591
Is the sentence intended to evoke nostalgia?,0.589
Is a specific language or linguistic feature mentioned?,0.589
Is the sentence describing a ritual or routine important to the narrator?,0.589
Does the input mention a piece of furniture or home decor?,0.587
Does the sentence convey a sense of urgency or haste?,0.587
Does the input mention a routine or daily activity?,0.587
Does the input discuss a collaboration or team effort?,0.587
Is there a mention of performing a specific task or duty?,0.587
Is there a discussion of a new skill or hobby being learned?,0.586
Does the sentence involve an expression of personal identity or values?,0.585
Does the input involve a comparison of before and after?,0.585
Does the sentence express a philosophical or existential query or observation?,0.585
Is the sentence part of a dialogue?,0.585
Does the input describe a nighttime setting?,0.585
Does the sentence describe a moment of companionship or solitude?,0.585
Does the input describe a specific emotion in detail?,0.584
Does the sentence describe a recurring thought or obsession?,0.584
Does the sentence involve a mention of a specific cultural or societal norm?,0.582
Does the sentence contain a contradiction?,0.582
Is there a mention of a specific educational degree or qualification?,0.581
Does the story involve a pet or domestic animal?,0.581
Does the sentence involve an act of rebellion or defiance?,0.58
Does the text involve a financial challenge or setback?,0.579
Is hair or clothing mentioned in the input?,0.579
Does the story involve a form of meditation or mindfulness?,0.577
Is there a reference to a specific personal achievement or milestone?,0.577
Is a specific scientific field or discipline mentioned?,0.576
Does the sentence describe a lesson learned or insight gained by the narrator?,0.575
Is the sentence related to health and fitness advice?,0.574
Does the sentence reference a religious or spiritual concept?,0.574
Does the text involve a journey by foot?,0.573
Does the sentence include a comparison or simile?,0.572
Does the text describe a mode of communication?,0.57
Is an educational lesson or class described?,0.569
Does the sentence involve a social or community event?,0.568
Does the sentence involve a demonstration or protest?,0.568
Does the sentence involve a gift or offering?,0.567
Does the input discuss a natural disaster or emergency situation?,0.566
Is there a mention of a gift or present?,0.566
Is a cultural event or festival mentioned?,0.565
Is the sentence humorous?,0.565
Is a health or wellness practice described?,0.564
Is there a discussion about ethical consumption or sustainability?,0.564
Is there a mention of a personal achievement or milestone?,0.564
Is there a reference to a specific scientific concept or theory?,0.563
Does the sentence describe a sensory experience?,0.563
Does the sentence express the narrator's attachment or detachment from material possessions?,0.562
Is a moment of solitude or reflection described?,0.562
Does the sentence describe a learning experience or lesson?,0.562
"Is there a discussion about sleep, dreams, or rest?",0.56
Is the sentence in the active voice?,0.559
Does the sentence express a personal preference or desire?,0.558
Is a form of self-improvement or personal development mentioned?,0.555
Does the input describe an encounter with a stranger?,0.553
Does the sentence involve travel to a different country or state?,0.552
Does the sentence involve a safety or security concern?,0.551
Does the sentence involve a mention of a specific political or social movement?,0.551
Is there an expression of love or affection?,0.551
Is a language or linguistic detail mentioned?,0.55
Does the input discuss educational content or learning?,0.549
Does the input discuss a technology trend or future prediction?,0.549
Is a historical event referenced?,0.549
Does the sentence describe a change in a relationship or social status?,0.549
Does the text mention a personal limit or boundary?,0.548
Does the sentence mention a specific time of day?,0.548
Does the sentence involve a mistake or error being made?,0.548
Does the sentence involve a mention of a fictional character or scenario?,0.547
Does the sentence reference a famous person or event?,0.547
Is a health or fitness routine described?,0.547
Does the sentence express a sense of belonging or connection to a place or community?,0.546
Does the text mention a form of digital communication?,0.544
Is there mention of a traditional or cultural dish?,0.543
Does the sentence contain a mention of a specific plant or animal species?,0.543
Does the sentence involve a negotiation or compromise?,0.543
Does the sentence involve a logical paradox?,0.543
Does the input mention a construction or building?,0.542
Does the sentence describe a process of learning or education?,0.541
Does the sentence reference historical events?,0.541
Is an unexpected discovery or surprise mentioned?,0.541
Does the input mention a fear or phobia?,0.539
Does the sentence involve family members?,0.539
Does the input mention laughter?,0.536
Is there a mention of a specific emotion?,0.536
Does the text include a reference to a famous painting or sculpture?,0.536
Does the sentence involve a physical or environmental challenge?,0.535
Is there a mention of a natural disaster?,0.535
Is there a mention of a specific building or structure?,0.534
Does the sentence describe an action being done to someone?,0.534
Does the sentence describe an art or craft technique?,0.534
Is there a reference to a philosophical or ethical dilemma?,0.533
"Is there a mention of a book, movie, or song?",0.533
Is there an expression of regret or apology?,0.533
Does the sentence mention a physical condition or health issue?,0.533
Does the sentence involve moral reasoning?,0.532
Is the sentence expressing the narrator's response to art or music?,0.531
Does the input describe a form of local or community service?,0.529
Is someone running in the input text?,0.528
Does the input involve the creation or invention of something?,0.527
Does the input involve a cultural festival or event?,0.527
Is the sentence part of a scientific explanation?,0.527
Does the input mention a friendship?,0.527
Does the sentence contain any mention of food or drink?,0.525
Does the text describe a form of therapy or healing?,0.525
Is there an expression of loyalty or commitment?,0.525
Is the sentence designed to persuade or convince?,0.524
Does the input mention a specific event or festival?,0.524
Does the input describe an old habit or something the narrator wishes to change?,0.523
Is a professional or career-related decision discussed?,0.523
Is there a description of a unique or unusual event?,0.523
Does the input involve a puzzle or problem to solve?,0.523
Does the input mention a cultural or societal norm?,0.523
Does the sentence describe a dream or fantasy?,0.523
Is the sentence related to education or learning?,0.522
Does the sentence reference a specific time or date?,0.522
Is the sentence grammatically complex?,0.521
Does the sentence describe an attempt to solve a problem or resolve a situation?,0.52
Is the input about an interaction with technology?,0.519
Does the input involve planning or organizing?,0.519
Is there any mention of a family member?,0.519
Is there a discussion of a psychological concept or mental health issue?,0.519
"Is there a reference to a myth, legend, or folklore?",0.518
Is there a reference to a childhood memory?,0.518
Is a specific body part mentioned?,0.517
Is there a mention of a specific age or life stage?,0.517
Does the sentence express a moment of defiance or resistance by the narrator?,0.517
Does the sentence include a threat or warning?,0.516
Does the sentence involve making a choice or decision?,0.515
Is the sentence about a current event or recent news?,0.515
Does the story involve a personal project or creation?,0.514
Does the sentence involve an exploration or adventure?,0.513
Is there mention of a family or personal relationship?,0.513
Is the sentence intentionally vague or ambiguous?,0.512
Does the input discuss a fashion trend or style advice?,0.512
Is there a description of a fantasy or imaginary scenario?,0.512
Is there a mention of a specific cultural or national identity?,0.512
Does the story include a portrayal of a city or urban setting?,0.51
Is there a depiction of a dream or nightmare?,0.51
Is there a reference to a specific date or historical event?,0.509
Is a personal belief or value expressed?,0.509
Does the sentence require inferential reasoning to understand?,0.508
Is a specific form of literature or writing style mentioned?,0.507
Is there a mention of a new beginning or start?,0.507
Does the sentence describe an ethical dilemma?,0.507
Is there a mention of a specific dietary habit or preference?,0.507
Does the input describe a moment of cultural shock or adaptation?,0.507
Does the input include a description of clothing?,0.507
Does the sentence contain a mention of a specific event or occasion?,0.506
Is the sentence highlighting a cultural or societal norm that impacts the narrator?,0.505
Does the text involve a personal challenge or goal being achieved?,0.505
Does the sentence describe an emotional or psychological transformation?,0.504
Is there a reference to an animal or pet?,0.504
Is there an expression of pride or self-esteem?,0.503
Does the sentence contain a negation?,0.503
Is a specific physical sensation described?,0.503
Does the text mention a form of alternative transportation?,0.503
Does the sentence convey the narrator's interaction with nature or the outdoors?,0.502
Does the input involve a scientific experiment or research study?,0.502
Does the sentence involve a mention of a health professional or medical advice?,0.501
Does the sentence contain a mention of a specific business or brand?,0.5
Is a famous quote or saying referenced?,0.5
Does the sentence involve a social interaction?,0.499
Is the sentence describing a physical sensation experienced by the narrator?,0.498
Is there a reference to health and safety precautions?,0.498
"Is there a reference to music, either listening or playing?",0.498
Is the sentence mentioning a pet or domestic animal?,0.497
Does the text mention a plant or gardening?,0.497
Is the sentence abstract rather than concrete?,0.497
Is the sentence a well-known quote or saying?,0.496
Does the sentence involve a surprise or unexpected event?,0.496
Does the sentence describe a cultural practice or tradition?,0.496
Does the sentence contain a question?,0.495
Does the input mention a change in a relationship?,0.495
Does the sentence involve a personal preference or taste?,0.495
Does the story describe a ceremony or ritual?,0.494
Is there a mention of a childhood aspiration or dream job?,0.494
Is there a description of a childhood toy or game?,0.493
Does the input describe a body of water?,0.493
Does the sentence involve a specific tradition or cultural practice?,0.493
Does the story include a lesson or moral?,0.493
Does the input contain humor or sarcasm?,0.492
Does the story talk about an act of defiance or rebellion?,0.492
Does the input express a political or social opinion?,0.492
Is there mention of a personal crisis or emergency?,0.492
Does the sentence involve an experience of loss or grief?,0.491
Does the story include an act of bravery or courage?,0.489
Does the input contain repetition?,0.489
Is the sentence describing a misunderstanding or confusion?,0.489
Is a specific game or toy mentioned?,0.488
Is there a reference to a specific cultural or religious belief?,0.488
Is a specific location referred to in the input?,0.488
Does the input discuss an act of kindness or charity?,0.487
Does the sentence describe an act of creativity or creation?,0.487
Does the sentence describe weather conditions?,0.487
Is there a reference to a specific piece of legislation or law?,0.487
"Is a natural phenomenon, like an eclipse or meteor shower, described?",0.486
Is the sentence related to environmental issues?,0.486
Does the sentence involve a mention of a geographical feature ?,0.486
Does the story involve a retreat or getaway?,0.485
Does the input involve a critique or review of something?,0.485
Is a specific health or safety measure mentioned?,0.485
Is a new technological advancement discussed?,0.485
Does the sentence include an idiom?,0.485
Does the input discuss a personal goal or aspiration?,0.484
Is a personal or family recipe mentioned?,0.483
Does the sentence include a mention of a legal or illegal activity?,0.483
Does the sentence describe an animal or involve animals?,0.483
Does the sentence involve planning or preparation for an event?,0.482
"Is a significant life event, like a wedding or graduation, mentioned?",0.482
Is a health condition or disease mentioned?,0.482
Does the sentence express anger or frustration directed at a specific situation or person?,0.482
Does the text include a planning or decision-making process?,0.482
Is a significant life event mentioned?,0.481
Does the input describe a scientific experiment or discovery?,0.481
Is there a depiction of an urban or rural difference?,0.481
Is there a mention of a physical activity or sport?,0.481
Is there an expression of hope or optimism?,0.48
Is there a discussion of a social issue?,0.48
Is there a discussion of a lesson learned or wisdom gained?,0.479
Is a specific location described?,0.479
Does the input discuss a craft or DIY project?,0.478
Does the sentence describe a common superstition or myth?,0.478
Is the sentence describing a work or school-related task?,0.477
Does the input include a moment of self-discovery?,0.477
Does the input include a mention of a personal idol or hero?,0.475
Is there a mention of a physical object or item?,0.475
Does the sentence contain words with strong visual imagery?,0.474
Is the input about a misunderstanding or assumption?,0.474
"Does the sentence express a moment of forgiveness, either giving or receiving?",0.472
"Is there mention of a specific book, movie, or song?",0.47
Is there a reference to a specific religious figure or deity?,0.47
Does the text describe an act of kindness?,0.47
Does the story mention an act of charity or volunteering?,0.468
Does the sentence describe an act of communication or messaging?,0.468
Does the text mention a fitness or sports achievement?,0.467
Is there a comparison or metaphor?,0.466
Does the input describe a scenic view or panorama?,0.465
"Is there mention of a book, film, or television show?",0.465
Does the input express surprise or disbelief?,0.465
Is a conflict or problem introduced?,0.464
Is there a depiction of a relaxing or peaceful moment?,0.463
Is there a reference to a specific cultural or social event?,0.463
Does the input discuss a business or entrepreneurial venture?,0.462
Is there an expression of surprise?,0.462
Does the sentence involve a public or community event?,0.461
Does the sentence describe an interaction that is significant to the narrator's development?,0.461
Is a health condition or medical situation mentioned?,0.46
Does the story mention a form of entertainment?,0.46
Is there a mention of an environmental or ecological practice?,0.459
Does the sentence describe overcoming a challenge or obstacle?,0.459
Is there a mention of a specific piece of clothing or accessory?,0.458
Does the input involve gardening or plant care?,0.457
Is there a first-person pronoun in the input?,0.457
Does the sentence include a metaphor?,0.456
Does the input involve a game or recreational activity?,0.456
Does the input involve a legal matter or law enforcement?,0.455
Is there a mention of reading or writing?,0.453
Is there a discussion about politics or government?,0.453
Does the story describe a shopping experience?,0.452
Does the sentence describe an environmental setting in detail?,0.451
Does the sentence contain a question that encourages reflection?,0.451
Is the input about a discovery or realization?,0.45
Does the input describe a moment of teamwork or collaboration?,0.45
Does the sentence involve a plan or strategy being developed?,0.449
Does the text describe an adventure or risky activity?,0.449
Does the input discuss an environmental issue or conservation effort?,0.448
Is a sports activity or event mentioned?,0.447
Is there a mention of a space or astronomical phenomenon?,0.447
Is technology or innovation discussed in the input?,0.447
Is the input about a relationship with another person?,0.446
Does the sentence contain a mention of a specific historical figure or celebrity?,0.446
Does the sentence use past tense?,0.445
Does the sentence reference a specific time of day?,0.445
Does the text mention a form of manual labor or craft?,0.445
Does the sentence describe a scenic view or landscape?,0.445
Is there a mention of a scientific or medical procedure?,0.445
Is there a description of a landscape or natural scene?,0.445
"Is there a reference to space, astronomy, or the universe?",0.444
Does the input describe a problem or challenge?,0.444
Is the sentence describing a moment of vulnerability or weakness?,0.443
Does the sentence refer to a specific cultural or religious belief?,0.442
Is the sentence describing a moment of realization or epiphany?,0.442
Is the input about a social or community event?,0.442
Is there a reference to a specific cultural tradition or practice?,0.442
Does the sentence express longing or nostalgia?,0.441
Is there a mention of a significant weather event?,0.441
Is there a mention of a physical object?,0.441
Is there a discussion about the future or predictions?,0.441
Is a historic landmark or monument described?,0.44
Is there mention of a significant personal or family event?,0.44
Does the input mention a political or social issue?,0.44
Does the narrative involve a crisis or emergency situation?,0.439
Does the input contain advice or recommendations?,0.439
"Is there a reference to a diet, nutrition, or food choice?",0.439
Does the input reference an event or phenomenon in nature?,0.439
Does the input involve an outdoor activity or adventure?,0.439
Is there mention of a legal or official process?,0.438
Does the sentence express a personal fear or anxiety?,0.437
Does the sentence contain elements of the supernatural or fantastical?,0.437
Is the sentence intended to be motivational or inspirational?,0.436
Is the sentence related to food or eating?,0.436
Is a specific chemical or substance mentioned?,0.435
Does the input mention a social or community issue?,0.435
Does the input involve a vehicle or mode of transportation?,0.434
Is the sentence expressing a wish or desire for something to be different?,0.434
Does the sentence convey a decision or choice made by the narrator?,0.434
Does the sentence use future tense?,0.433
Is the sentence related to fashion or personal style?,0.433
Is a mathematical concept or number mentioned?,0.432
Does the story talk about a loss or letting go?,0.432
Is there a mention of a physical activity or action?,0.432
Does the text describe a form of transportation?,0.432
Does the sentence involve travel or movement?,0.432
Does the text describe a hobby in detail?,0.43
Is there a mention of a specific tool or device?,0.43
Does the sentence describe a travel experience?,0.43
Does the story describe a work or school setting?,0.43
Is a moment of unexpected kindness or generosity described?,0.429
Does the story talk about a vacation or travel experience?,0.429
Does the input include a reference to a book or movie?,0.429
"Is there a mention of a geographical feature, like a mountain or river?",0.428
Does the sentence involve planning or scheduling?,0.427
Is the sentence part of a legal document or text?,0.427
Does the sentence describe an artistic or creative activity?,0.426
Does the sentence describe a creative or artistic activity?,0.426
Is there mention of a natural or geographical feature?,0.425
Is cooking or a recipe discussed in the input?,0.425
Is a meal being prepared or cooked?,0.425
Does the input include a comparison or metaphor?,0.425
Is the sentence conveying a change in the narrator's emotional state?,0.425
Does the sentence express fear or anxiety?,0.425
Is there a depiction of a routine or habit?,0.423
Does the story mention a form of public transportation?,0.423
Does the sentence express regret or remorse for a past action?,0.422
Does the input describe a moment of realization or epiphany?,0.422
Does the story involve planning or preparing for an event?,0.422
Is there mention of a significant historical or societal change?,0.422
Is the sentence expressing admiration or praise?,0.421
Does the input include an expression of disappointment?,0.42
Does the text include a reference to a sport or athletic activity?,0.42
Does the sentence describe a moment of realization or epiphany?,0.42
Is an art or craft mentioned?,0.419
Does the sentence reference a specific location or place?,0.419
Is the narrative focused on a personal discovery or realization?,0.418
Is a fear or phobia expressed?,0.417
Does the sentence mention a mode of transportation?,0.417
Is the sentence involving a risk or dare?,0.416
Is a historical figure or leader mentioned?,0.416
Does the input contain a question?,0.414
Is there a reference to a specific scientific or technological invention?,0.414
Does the input discuss travel or exploration?,0.412
Is there a reference to a specific educational institution or program?,0.412
Does the input mention any form of art or artistic activity?,0.412
Is there a mention of a family heirloom or artifact?,0.411
Is a friendship being formed or ending?,0.411
Does the input involve a craft or handiwork project?,0.411
Does the sentence describe the narrator's creative process or artistic inspiration?,0.41
Does the sentence describe an experience of conflict or confrontation?,0.41
Is a moment of comedy or humor described?,0.41
Does the sentence involve the use of technology or gadgets?,0.41
Is there a discovery or realization mentioned?,0.409
Does the sentence mention a specific location?,0.408
Does the sentence express hope or aspiration for the future?,0.408
Does the input express feelings of sadness?,0.408
"Is the sentence reflective, involving self-analysis or introspection?",0.408
Is there mention of a personal hobby or interest?,0.407
Does it mention a relationship or social interaction?,0.406
Is there a reference to a dream or aspiration?,0.406
Is the sentence describing a routine or habit?,0.406
Does the sentence relate to personal health or bodily functions?,0.406
Is there mention of a personal challenge or obstacle overcome?,0.405
Does the sentence describe a routine activity?,0.404
Does the sentence involve an act of creativity or invention?,0.404
Does the sentence express confidence or certainty?,0.404
Is a cultural or societal norm discussed?,0.403
Does the text include a reflection on past events?,0.403
Is a personal philosophy or worldview expressed?,0.402
Does the sentence involve an expression of regret or apology?,0.402
Does the sentence mention a unique or unusual experience?,0.401
Is there a mention of performing arts or entertainment ?,0.401
Does the input involve a financial topic or economic concept?,0.401
Is a personal transformation or change described?,0.4
Is there a mention of a fictional character or story?,0.4
Is a specific tool or equipment mentioned?,0.399
Is there an expression of fear or anxiety?,0.398
Does the sentence involve a work or professional setting?,0.398
Is there an expression of surprise or unexpected outcome?,0.398
Does the input mention a specific animal species?,0.398
Is the input reflecting on a personal change or growth?,0.397
Is the input about a scientific discovery or concept?,0.397
Does the sentence describe a scientific experiment or finding?,0.397
Is a specific season described?,0.397
Does the input describe an emotional support or comfort?,0.397
Does the sentence describe a common fear or phobia?,0.395
Does the sentence describe an act of care or nurturing?,0.395
Does the sentence involve a technological or scientific concept?,0.395
Is the sentence part of a narrative?,0.395
Is the sentence conveying the narrator's admiration or respect for another character?,0.394
Is there mention of a specific cultural artifact or symbol?,0.394
Is the sentence giving advice or a suggestion?,0.394
Is a cultural practice or tradition mentioned?,0.394
Is there a reference to a specific historical figure or celebrity?,0.394
Is there a reference to a specific time of day?,0.393
Is there mention of a personal or family relationship?,0.392
Does the input involve a coding or programming concept?,0.392
Is a specific weather condition mentioned?,0.392
Is there a description of a meal?,0.392
Is a sport or physical activity mentioned in the input?,0.391
Does the sentence involve historical or cultural references?,0.391
Is there a depiction of a physical activity?,0.39
Does the sentence involve a health or wellness practice?,0.389
Does the input express empathy or compassion?,0.389
Is there a reference to a personal idol or role model?,0.389
Is a holiday or celebration mentioned?,0.388
Does the story talk about a personal challenge?,0.387
Does the sentence involve an act of commemoration or remembrance?,0.387
Is there a mention of a specific food or cuisine?,0.387
Does the sentence contain a reference to a specific literary or artistic work?,0.387
Does the sentence involve a mention of a cultural or historical artifact?,0.387
Does the input involve a historical event?,0.387
Is there a mention of a future plan or intention?,0.386
Is a piece of technology described?,0.386
Does the story mention a childhood memory?,0.385
Is an environmental concern or issue mentioned?,0.385
Is there a mention of a change in health or physical condition?,0.385
Is there a mention of a scientific fact or concept?,0.385
Is a religious or spiritual practice mentioned?,0.384
Does the sentence involve planning or decision-making?,0.384
Is there a mention of a specific environmental or ecological issue?,0.384
Does the input discuss a personal limitation or weakness?,0.383
Does the sentence contain a mention of a specific architectural style or element?,0.383
Is there a mention of music or dancing?,0.383
Does the story mention a craft or DIY project?,0.382
Is there a reference to an act of learning from a mistake?,0.382
Is there a reference to a specific physical location or landmark?,0.382
Does the sentence use an unusual syntactic structure?,0.381
Is there a mention of a tradition or custom?,0.381
Is the sentence focused on a memory from the past?,0.38
Is there a reference to a specific individual or public figure?,0.38
Is there a mention of a specific emotion or mental state?,0.38
Does the sentence mention a specific technological device or platform?,0.379
Is there a reference to a personal or family tradition?,0.378
Does the sentence involve a vehicle or form of transportation?,0.378
Does the sentence involve a specific form of communication or language use?,0.377
Is there a reference to a social or political issue?,0.376
Is there any mention of weather or climate conditions?,0.375
Is there a mention of a specific personal or family tradition?,0.375
Is a specific scientific concept or theory mentioned?,0.375
Does the text involve a financial transaction?,0.372
Does the sentence describe a challenge or obstacle overcome?,0.372
Does the sentence use a common cliché?,0.371
Is the sentence referencing legal matters or rights?,0.371
Does the sentence describe a character in a story?,0.371
Is the sentence repetitive or redundant?,0.369
Does the input involve a fitness routine or exercise?,0.369
Does the input involve a financial planning or investment strategy?,0.369
Is the input expressing a wish or desire?,0.369
Is there a reference to a political or governmental action?,0.368
Does the sentence contain humor or sarcasm?,0.368
Does the story involve a game or sport?,0.368
Is a mythical or legendary story referenced?,0.368
"Is there mention of a concert, play, or live performance?",0.368
Is there a reference to a religious or spiritual practice?,0.367
Is there a reference to a specific historical period or era?,0.366
Is the sentence related to sports or physical exercise?,0.366
Does the sentence involve a creative or artistic activity?,0.366
Does the input discuss a societal issue or social justice topic?,0.365
Is there a mention of a puzzle or mystery?,0.365
Is a specific type of animal described?,0.365
Is the sentence emotionally negative?,0.365
Is there stuttering or uncertainty in the input?,0.364
"Is there mention of a war, battle, or military event?",0.364
Is there mention of a specific cultural icon or landmark?,0.363
Is there a discussion of a technological problem or bug?,0.362
Is there a reference to a cultural tradition or practice?,0.362
Does the text talk about a hobby or pastime?,0.361
Is there mention of a public service or community project?,0.36
Is the sentence describing a craft or DIY project?,0.359
Is a culinary experience or taste described?,0.359
Is there a reference to a life-changing decision or moment?,0.359
Does the sentence involve an expression of hope or aspiration?,0.358
Does the input express disappointment or dissatisfaction?,0.357
Is there a mention of a physical injury or harm?,0.357
Does the sentence contain emotionally charged words?,0.355
Does the sentence describe a routine or daily activity?,0.355
Is an outdoor activity mentioned?,0.355
Is a specific holiday or festive occasion mentioned?,0.354
Does the sentence include a cultural reference or idiom?,0.354
Does the input contain negativity?,0.353
Does the sentence involve a specific mental or cognitive process?,0.353
Does the sentence describe a natural phenomenon?,0.353
Is the input related to food preparation?,0.352
Is there mention of a specific form of entertainment or media?,0.351
Does the input discuss a health-related issue or wellness?,0.351
Is there a mention of a historical event?,0.349
Is there a reference to a famous work of literature or author?,0.347
"Is there mention of a political event, policy, or figure?",0.347
Is there mention of a specific hobby or pastime?,0.345
Does the story describe a building or architecture?,0.345
Does the sentence involve a mention of a natural disaster or extreme weather event?,0.345
Is there a reference to a specific social or political issue?,0.345
Is there a reference to a health or wellness practice?,0.344
Does the sentence express gratitude or acknowledgment?,0.344
Is there a reference to a physical or mental health treatment?,0.344
Does the input discuss a moral or ethical dilemma?,0.343
Does the input discuss a breakthrough in medical research?,0.343
Does the sentence involve food or dining?,0.339
Is there a reference to an educational setting or activity?,0.338
Is the sentence expressing confusion or uncertainty?,0.337
Is there a reference to a specific leisure or entertainment device?,0.337
Does the text describe a personal achievement?,0.337
Is there a mention of a musical experience or concert?,0.336
Is the input related to physical injury or trauma?,0.335
Does the input mention a form of artistic expression?,0.335
Is there a reference to a past event?,0.335
Does the story mention a form of art or exhibition?,0.333
Is there a mention of a hobby or interest?,0.333
Is a form of leisure or relaxation described?,0.332
Does the input discuss environmental concerns or issues?,0.331
Is there mention of a specific form of art or craftsmanship?,0.331
Does the sentence describe a landscape or natural feature?,0.329
Is there a discussion of a family tradition or custom?,0.325
Does the story talk about a personal sacrifice or compromise?,0.324
Does the story describe a personal crisis or emergency?,0.323
Does the sentence describe a technological concept?,0.323
Does the story involve a technological problem or solution?,0.322
Is there a mention of a specific food or drink?,0.322
Does the sentence involve a personal challenge or obstacle?,0.322
Is there a reference to physical health or fitness?,0.321
Does the story talk about a misunderstanding or confusion?,0.321
Does the sentence mention performing an experiment or research?,0.32
Is the input expressing gratitude or thanks?,0.32
