question,avg_abs_coef_normalized
Does the input mention a routine or daily activity?,0.555
Is a personal preference or taste described?,0.553
Does the input contain an expression of anger?,0.553
Is a professional or career-related decision discussed?,0.552
Is a historical event referenced?,0.542
Does the input contain a measurement?,0.539
Does the input include a comparison or metaphor?,0.538
Is there an expression of pride or self-esteem?,0.536
Does the input describe a specific emotion in detail?,0.532
Is a form of self-improvement or personal development mentioned?,0.531
Does the input describe an old habit or something the narrator wishes to change?,0.53
Does the text mention a piece of advice?,0.53
Does the input involve a critique or review of something?,0.53
Does the input involve a debate or controversial topic?,0.528
Is there a discussion of a social issue?,0.528
Does the sentence mention a specific location?,0.527
Is a health or wellness practice described?,0.526
Does the story involve a pet or domestic animal?,0.525
Is the sentence expressing admiration or praise?,0.524
"Is there a reference to a famous painting, sculpture, or artist?",0.523
Is there a description of a landscape or natural scene?,0.522
Is there a depiction of a public speaking or performance event?,0.521
Does the input involve a comparison of before and after?,0.521
Is there a description of a childhood toy or game?,0.517
Is there a mention of a physical object or item?,0.513
Does the sentence involve making a choice or decision?,0.513
Does the text describe a personal space or room?,0.511
Is there mention of a traditional or cultural dish?,0.505
Is there mention of a family or personal relationship?,0.502
Is there a reference to a childhood memory?,0.502
Does the input involve planning or organizing?,0.502
Does the sentence involve a health or wellness practice?,0.501
Is a cultural event or festival mentioned?,0.5
Does the sentence express confidence or certainty?,0.498
Does the text mention a celebrity or public figure?,0.497
Is a specific language or linguistic feature mentioned?,0.495
Does the sentence involve a personal preference or taste?,0.494
"Is there mention of a city, country, or geographic feature?",0.493
Does the input mention a fear or phobia?,0.493
Is a health condition or disease mentioned?,0.492
Does the input mention a piece of furniture or home decor?,0.492
Does the story talk about an act of defiance or rebellion?,0.49
Is there a reference to a cultural tradition or practice?,0.49
Is the input about an interaction with technology?,0.487
Is the input about a discovery or realization?,0.486
Is an unexpected discovery or surprise mentioned?,0.483
Is hair or clothing mentioned in the input?,0.483
Is there an expression of fear or anxiety?,0.483
Is there a description of a fantasy or imaginary scenario?,0.482
Does the input include a mention of a personal idol or hero?,0.48
Does the story involve a personal project or creation?,0.48
Is a specific scientific field or discipline mentioned?,0.479
Does the text mention a personal limit or boundary?,0.476
Does the story talk about a loss or letting go?,0.476
Does the story talk about a personal challenge?,0.475
Is a specific color or pattern described?,0.475
Does the input discuss a personal goal or aspiration?,0.475
Does the input discuss a fashion trend or style advice?,0.471
Is the sentence describing a work or school-related task?,0.469
Is there a discussion about politics or government?,0.468
Is a specific location referred to in the input?,0.468
Does the sentence describe an artistic or creative activity?,0.467
Does the text involve a safety or security measure?,0.464
Does the text include a reference to a famous painting or sculpture?,0.463
Does the input involve a game or recreational activity?,0.461
Is there a depiction of a relaxing or peaceful moment?,0.46
Does the input describe a moment of cultural shock or adaptation?,0.459
Is a health or fitness routine described?,0.458
Is a moment of solitude or reflection described?,0.456
Is there an expression of hope or optimism?,0.455
Is there a first-person pronoun in the input?,0.454
Does the input discuss a collaboration or team effort?,0.454
"Is there a mention of a book, movie, or song?",0.453
Is there a mention of a competition or contest?,0.449
Is there an expression of loyalty or commitment?,0.448
Is there a discussion of a lesson learned or wisdom gained?,0.447
Is there an expression of surprise?,0.446
Is there a depiction of an urban or rural difference?,0.444
Does the input describe a form of local or community service?,0.443
Does the sentence mention a holiday or celebration?,0.441
Does the input mention a construction or building?,0.441
Does the input discuss travel or exploration?,0.44
Is the input about a relationship with another person?,0.439
Is there an expression of surprise or unexpected outcome?,0.437
Does the text describe an act of kindness?,0.437
"Is a specific school, university, or educational institution mentioned?",0.435
Does the input express feelings of sadness?,0.434
Is there a mention of an environmental or ecological practice?,0.434
Is there a depiction of a routine or habit?,0.43
Is a personal philosophy or worldview expressed?,0.429
Does the input mention a cultural or societal norm?,0.429
Does the sentence reference a specific time of day?,0.428
Does the input discuss a technology trend or future prediction?,0.428
Is a cultural or societal norm discussed?,0.427
Does the story talk about a friendship or relationship ending?,0.427
Does the input mention a social or community issue?,0.426
Is there a description of a unique or unusual event?,0.425
Is a language or linguistic detail mentioned?,0.423
Is there a mention of a new beginning or start?,0.423
Does the input include a description of clothing?,0.423
"Is there a reference to music, either listening or playing?",0.423
Does the input discuss a craft or DIY project?,0.42
Is the sentence describing a craft or DIY project?,0.42
Does the input contain a question?,0.418
Does the text involve a journey by foot?,0.414
"Is there a reference to space, astronomy, or the universe?",0.411
Is there stuttering or uncertainty in the input?,0.411
Is there a depiction of a physical activity?,0.41
Is technology or innovation discussed in the input?,0.407
Does the text describe a form of therapy or healing?,0.407
Is there a mention of a childhood aspiration or dream job?,0.407
Does the input mention a change in a relationship?,0.407
Does the input contain emotional words?,0.406
Is a moment of unexpected kindness or generosity described?,0.404
Does the text include a reflection on past events?,0.404
Is an educational lesson or class described?,0.404
Is there a depiction of a dream or nightmare?,0.404
Is there an expression of love or affection?,0.403
Does the text mention a plant or gardening?,0.403
Does the sentence express longing or nostalgia?,0.402
Does the input mention a political or social issue?,0.4
Does the sentence involve a negotiation or compromise?,0.4
Is the input about a personal achievement or milestone?,0.397
Is there a reference to health and safety precautions?,0.396
Does the input mention a specific event or festival?,0.394
Does the input describe an encounter with a stranger?,0.393
Does the text mention a form of manual labor or craft?,0.393
Does the text include a reference to a sport or athletic activity?,0.393
Does the input include an expression of disappointment?,0.39
Is there a discussion about the future or predictions?,0.389
Is the input about a scientific discovery or concept?,0.388
Is a new technological advancement discussed?,0.388
Does the text mention a fitness or sports achievement?,0.388
Does the input describe a nighttime setting?,0.388
"Is there mention of a political event, policy, or figure?",0.387
Is there a mention of a family heirloom or artifact?,0.386
Is cooking or a recipe discussed in the input?,0.386
Does the sentence describe weather conditions?,0.386
Does the input involve a legal matter or law enforcement?,0.386
Is there any mention of weather or climate conditions?,0.385
Does the story mention a form of entertainment?,0.383
Is there a mention of a space or astronomical phenomenon?,0.382
Is a fear or phobia expressed?,0.382
Does the text involve a financial challenge or setback?,0.382
Is there a discussion of a family tradition or custom?,0.381
Does the input describe a problem or challenge?,0.38
Does the input involve a vehicle or mode of transportation?,0.38
Is there a mention of music or dancing?,0.38
Is a specific chemical or substance mentioned?,0.379
Is a specific tool or equipment mentioned?,0.378
Does the sentence describe a scenic view or landscape?,0.377
Does the input mention a friendship?,0.377
Is there a reference to a famous work of literature or author?,0.376
Does the input describe a moment of teamwork or collaboration?,0.375
Is an environmental concern or issue mentioned?,0.374
Is a moment of comedy or humor described?,0.374
Is there a mention of a gift or present?,0.373
Is a specific form of literature or writing style mentioned?,0.372
Is a holiday or celebration mentioned?,0.371
Is there a reference to a specific individual or public figure?,0.37
Does the input express a political or social opinion?,0.369
Does the story describe a work or school setting?,0.367
Does the story involve a retreat or getaway?,0.366
Does the input involve an outdoor activity or adventure?,0.366
Does the input contain negativity?,0.366
Is a significant historical period or event described?,0.366
Does the input involve the creation or invention of something?,0.365
Does the text involve a personal challenge or goal being achieved?,0.365
Does the text mention a form of digital communication?,0.365
Is there a reference to a dream or aspiration?,0.364
Is a personal transformation or change described?,0.363
Does the input express disappointment or dissatisfaction?,0.363
Is there a mention of a game or sport?,0.363
Is a meal being prepared or cooked?,0.362
Is a specific type of animal described?,0.361
Does the story describe a building or architecture?,0.36
Is a famous quote or saying referenced?,0.359
Is there a mention of reading or writing?,0.359
Does the input involve a scientific experiment or research study?,0.359
Is there mention of a personal hobby or interest?,0.357
Is there a mention of a natural disaster?,0.356
Does the input discuss a personal limitation or weakness?,0.356
"Is a natural phenomenon, like an eclipse or meteor shower, described?",0.354
Does the story involve a form of meditation or mindfulness?,0.353
Does the story mention an act of charity or volunteering?,0.353
Does the input describe a body of water?,0.351
Does the sentence mention a unique or unusual experience?,0.35
Does the story talk about a vacation or travel experience?,0.35
Is the input about a social or community event?,0.35
"Is a significant life event, like a wedding or graduation, mentioned?",0.348
Is there a reference to a personal idol or role model?,0.348
Does the story describe a shopping experience?,0.347
Does the input mention a specific animal species?,0.347
Does the input mention any form of art or artistic activity?,0.347
Does the input mention laughter?,0.344
Does the story describe a ceremony or ritual?,0.344
Does the input discuss an act of kindness or charity?,0.343
Is there any mention of a dream or aspiration?,0.342
"Is there a reference to a myth, legend, or folklore?",0.342
Does the input discuss an environmental issue or conservation effort?,0.342
Does the text mention a form of alternative transportation?,0.342
Does the story include a portrayal of a city or urban setting?,0.34
Is the sentence describing a routine or habit?,0.34
"Is there mention of a concert, play, or live performance?",0.339
Does the input contain advice or recommendations?,0.339
Is the input expressing a wish or desire?,0.339
Is a friendship being formed or ending?,0.339
Is a cultural practice or tradition mentioned?,0.338
Is the sentence giving advice or a suggestion?,0.337
Is a mythical or legendary story referenced?,0.337
Does the sentence include a cultural reference or idiom?,0.336
Is there a mention of a scientific fact or concept?,0.336
Does the input express empathy or compassion?,0.335
Is a mathematical concept or number mentioned?,0.335
Does the input involve a fitness routine or exercise?,0.335
Does the story involve a technological problem or solution?,0.334
Does the story involve planning or preparing for an event?,0.334
Is someone running in the input text?,0.334
Does the input reference an event or phenomenon in nature?,0.332
Does the input describe a scientific experiment or discovery?,0.332
Does the input involve a historical event?,0.332
Is a historic landmark or monument described?,0.33
Does the input discuss a natural disaster or emergency situation?,0.329
Is the input related to physical injury or trauma?,0.328
Does the input include a reference to a book or movie?,0.328
Is there mention of a personal challenge or obstacle overcome?,0.326
Does the text involve a financial goal or saving?,0.326
Is the sentence involving a risk or dare?,0.326
Is there a discussion of a technological problem or bug?,0.324
Is an art or craft mentioned?,0.323
Is there a mention of a significant weather event?,0.323
Does the input describe an emotional support or comfort?,0.323
Does the input discuss a moral or ethical dilemma?,0.322
Is there a mention of a fictional character or story?,0.321
Does the input describe a scenic view or panorama?,0.318
"Is there mention of a book, film, or television show?",0.318
Is there a reference to a social media trend or online phenomenon?,0.318
Is the sentence mentioning a pet or domestic animal?,0.317
Does the story describe a personal crisis or emergency?,0.316
Is a holiday or celebration referenced in the input?,0.316
Is a specific historical figure or leader mentioned?,0.316
Does the text involve a financial transaction?,0.316
Is there a description of weather conditions?,0.316
Is the input related to food preparation?,0.315
"Is there a reference to a diet, nutrition, or food choice?",0.315
Is there a mention of a future plan or intention?,0.311
Is a specific season described?,0.31
Does the input involve a cultural festival or event?,0.308
Is the input expressing gratitude or thanks?,0.306
Is a personal or family recipe mentioned?,0.305
Does the story include an act of bravery or courage?,0.305
Is the input reflecting on a personal change or growth?,0.305
Does the story mention a craft or DIY project?,0.304
Is the sentence referencing legal matters or rights?,0.303
Is a family member mentioned?,0.302
Does the story talk about a misunderstanding or confusion?,0.302
Does the input discuss a business or entrepreneurial venture?,0.302
Is there a mention of a puzzle or mystery?,0.302
Does the input involve a craft or handiwork project?,0.302
Does the text describe a hobby in detail?,0.3
Is there a reference to a past event?,0.3
Is a piece of technology described?,0.299
"Is there a mention of a geographical feature, like a mountain or river?",0.299
Does the input discuss a health-related issue or wellness?,0.298
Does the input discuss a societal issue or social justice topic?,0.297
Does the sentence mention a mode of transportation?,0.296
Does the input discuss a health issue or concern?,0.295
Does the text describe a form of transportation?,0.294
Is there a description of a meal?,0.292
Does the input involve gardening or plant care?,0.291
Is there a mention of a specific food or drink?,0.291
Does the story mention a childhood memory?,0.288
Does the input involve a coding or programming concept?,0.288
Is a religious or spiritual practice mentioned?,0.286
Is there a mention of a place of worship or religious practice?,0.285
Does the input involve a financial topic or economic concept?,0.285
Is there mention of a public service or community project?,0.284
Does the text describe an adventure or risky activity?,0.283
Is a historical figure or leader mentioned?,0.283
Is the input mentioning an animal?,0.282
Is there a description of a technological device or app?,0.281
Is a specific piece of technology or gadget mentioned?,0.28
"Is there mention of a war, battle, or military event?",0.275
Does the input discuss environmental concerns or issues?,0.274
Is there a reference to physical health or fitness?,0.273
Is an outdoor activity mentioned?,0.272
Is a sport or physical activity mentioned in the input?,0.272
Does the story mention a form of public transportation?,0.271
Does the input mention a form of artistic expression?,0.27
Does the text talk about a hobby or pastime?,0.269
Is there a mention of a musical experience or concert?,0.269
Does the input involve animals or wildlife?,0.267
Does the input express gratitude?,0.263
Is there mention of a religious or spiritual theme?,0.262
Does the input describe an animal?,0.261
Is a form of leisure or relaxation described?,0.261
Is there a mention of a hobby or leisure activity?,0.258
Is a supernatural or paranormal event discussed?,0.253
Is there a mention of a gadget or piece of technology?,0.253
Is a culinary experience or taste described?,0.251
Is a scientific concept or theory mentioned?,0.249
Is there a mention of a tradition or custom?,0.248
Is there a mention of a historical event?,0.245
Is there a mention of a hobby or interest?,0.245
Does the story involve a game or sport?,0.242
Does the sentence describe a landscape or natural feature?,0.242
Does the input involve a financial planning or investment strategy?,0.241
Does the input discuss a breakthrough in medical research?,0.239
Does the story mention a form of art or exhibition?,0.238
Does the sentence describe a challenge or obstacle overcome?,0.237
Is a personal goal or objective mentioned?,0.228
Does the text describe a personal achievement?,0.228
Does the text involve a change in perspective or attitude?,0.227
Is there an expression of frustration or annoyance?,0.223
Does the story mention a health issue or injury?,0.216
Does the story talk about a personal sacrifice or compromise?,0.207
Does the input involve a financial transaction or discussion?,0.197
Is a seasonal holiday or event described?,0.186
