question,avg_abs_coef_normalized
Is a famous quote or saying referenced?,0.691
Is a specific language or linguistic feature mentioned?,0.69
Does the story mention a form of public transportation?,0.69
Is there a description of a childhood toy or game?,0.69
"Is a natural phenomenon, like an eclipse or meteor shower, described?",0.69
Does the input contain humor or sarcasm?,0.689
Does the story mention a form of art or exhibition?,0.689
Does the input discuss a personal limitation or weakness?,0.688
Does the input describe a moment of teamwork or collaboration?,0.688
Does the input mention any form of art or artistic activity?,0.688
Is a family member mentioned?,0.687
Is there a discussion of a family tradition or custom?,0.686
Is a religious or spiritual practice mentioned?,0.686
Is there a description of weather conditions?,0.684
Is a form of leisure or relaxation described?,0.681
Does the input contain a measurement?,0.681
Is a historical figure or leader mentioned?,0.68
Does the text include a reference to a sport or athletic activity?,0.679
Does the input express surprise or disbelief?,0.679
Is a historical event referenced?,0.678
"Is there a reference to music, either listening or playing?",0.678
Does the input express feelings of jealousy or envy?,0.677
Is there a mention of a childhood aspiration or dream job?,0.676
Is a culinary experience or taste described?,0.676
Is there a mention of a scientific fact or concept?,0.675
Does the input mention a cultural or societal norm?,0.675
Does the text describe a journey?,0.675
Is there an expression of hope or optimism?,0.674
Is there a reference to a cultural tradition or practice?,0.67
Does the text mention a fitness or sports achievement?,0.67
Is there a comparison or metaphor?,0.669
Is a superstition or myth discussed?,0.668
Is there a mention of a space or astronomical phenomenon?,0.667
"Is there a reference to a diet, nutrition, or food choice?",0.665
Is the input about a practical joke or prank?,0.665
Does the input describe an emotional support or comfort?,0.664
Is a holiday or celebration referenced in the input?,0.663
Is there a mention of music or dancing?,0.66
Does the story talk about a personal challenge?,0.659
Does the input describe a moment of cultural shock or adaptation?,0.659
Does the input express disappointment or dissatisfaction?,0.658
Does the input mention a personal insecurity or doubt?,0.657
Does the input describe a form of local or community service?,0.656
Does the input include a reference to a book or movie?,0.655
Is there mention of a family or personal relationship?,0.653
Does the text include a reference to a famous painting or sculpture?,0.648
Is there a description of a unique or unusual event?,0.648
Does the sentence express confidence or certainty?,0.64
Does the story include an act of bravery or courage?,0.638
Is a cultural or societal norm discussed?,0.637
Is cooking or a recipe discussed in the input?,0.636
Is there a reference to a philosophical or ethical dilemma?,0.635
Is an outdoor activity mentioned?,0.634
Does the input mention a specific event or festival?,0.627
Does the story talk about a loss or letting go?,0.624
"Is there a reference to a famous painting, sculpture, or artist?",0.62
Is a form of non-verbal communication depicted?,0.607
Is there a reference to a childhood memory?,0.597
Is there a discussion of a psychological concept or mental health issue?,0.551
Is there a depiction of a dream or nightmare?,0.55
Is there a depiction of a routine or habit?,0.542
