question,avg_abs_coef_normalized
Is time mentioned in the input?,0.611
Is the sentence structured as a list?,0.609
Does the input include dialogue between characters?,0.609
Is there mention of a unique or unusual hobby?,0.606
Does the sentence describe an economic concept or issue?,0.605
Is there any mention of a family member?,0.603
Is a specific color or pattern described?,0.603
Is the input about an interaction with technology?,0.601
Does the sentence use a unique or unusual word?,0.599
Is there a description of a landscape or natural scene?,0.599
Is the sentence describing a significant change in the narrator's environment or circumstances?,0.599
Does the input involve a philosophical question or theory?,0.598
Is the sentence related to politics or government?,0.597
"Does the sentence convey the narrator's relationship with time, such as impatience or nostalgia?",0.596
Does the input mention a routine or daily activity?,0.595
Does the sentence convey a sense of urgency or haste?,0.595
Does the story involve a personal project or creation?,0.595
Does the sentence convey the narrator's sense of humor or wit?,0.594
Does the input include a mention of a personal idol or hero?,0.594
Is there mention of a traditional or cultural dish?,0.593
Does the sentence involve a safety or security concern?,0.592
Does the input describe an old habit or something the narrator wishes to change?,0.592
Does the sentence mention a holiday or celebration?,0.591
Does the text describe a mode of communication?,0.59
Does the text include a planning or decision-making process?,0.59
Is a form of self-improvement or personal development mentioned?,0.588
Does the sentence include a number or statistic?,0.586
Does the sentence reference a famous person or event?,0.583
Does the sentence describe a physical sensation?,0.583
Does the sentence include dialogue?,0.582
Does the sentence express a sense of belonging or connection to a place or community?,0.582
Is the sentence describing a work or school-related task?,0.58
Does the sentence involve time travel or hypothetical future scenarios?,0.58
Does the sentence describe a relationship between people?,0.579
Is a specific scientific field or discipline mentioned?,0.577
Does the sentence express a philosophical or existential query or observation?,0.576
Does the sentence involve making a choice or decision?,0.575
Is a specific location described?,0.572
Does the input mention a construction or building?,0.571
Is the sentence providing an explanation or rationale?,0.565
Is the sentence about a game or leisure activity?,0.565
Is the sentence a command?,0.564
Does the sentence include a threat or warning?,0.563
Is a personal preference or taste described?,0.563
"Is there mention of a city, country, or geographic feature?",0.563
Does the input include a moment of self-discovery?,0.562
Is the input about a practical joke or prank?,0.562
Does the sentence express the narrator's attachment or detachment from material possessions?,0.56
Does the sentence express regret or remorse for a past action?,0.559
Is a specific language or linguistic feature mentioned?,0.558
Is a personal belief or value expressed?,0.556
Does the story include a lesson or moral?,0.556
Is there a reference to a philosophical or ethical dilemma?,0.556
"Is a specific school, university, or educational institution mentioned?",0.555
Is the sentence expressing the narrator's aspirations for societal change or impact?,0.554
"Does the sentence describe a physical sensation (e.g., touch, taste)?",0.551
Does the text mention a personal limit or boundary?,0.55
Does the sentence involve spatial reasoning?,0.547
Does the input describe an encounter with a stranger?,0.546
Is the sentence related to health and fitness advice?,0.545
Does the sentence describe a cultural practice or tradition?,0.541
Is the sentence intended to be motivational or inspirational?,0.54
Does the sentence use alliteration or rhyme?,0.536
Is the sentence part of a scientific explanation?,0.536
Does the input describe a specific emotion in detail?,0.535
Does the input contain a measurement?,0.534
Is the sentence in the passive voice?,0.534
Is a health or fitness routine described?,0.532
Does the input involve a debate or controversial topic?,0.53
Is there a reference to health and safety precautions?,0.528
Is there a description of a fantasy or imaginary scenario?,0.527
Does the sentence describe a recurring thought or obsession?,0.527
Is the sentence expressing the narrator's response to art or music?,0.526
Is a new technological advancement discussed?,0.525
Does the text mention a celebrity or public figure?,0.525
Does the story talk about an act of defiance or rebellion?,0.524
Is there a discussion about politics or government?,0.524
Does the input include a description of clothing?,0.523
Does the sentence involve planning or decision-making?,0.521
Does the story involve a close call or narrow escape?,0.521
Is there a mention of an environmental or ecological practice?,0.52
Does the input mention a fear or phobia?,0.518
Is the sentence related to education or learning?,0.518
Is there a discussion of a social issue?,0.517
Does the sentence include a conditional clause?,0.517
Is the sentence emotionally neutral?,0.517
Is the sentence highlighting a cultural or societal norm that impacts the narrator?,0.515
Does the input involve a comparison of before and after?,0.515
Is there a mention of a competition or contest?,0.514
Does the text mention a form of digital communication?,0.514
Does the input involve a legal matter or law enforcement?,0.511
Is the sentence describing a ritual or routine important to the narrator?,0.51
Does the story talk about a loss or letting go?,0.508
Is there a mention of a family heirloom or artifact?,0.505
Does the sentence convey the narrator's interaction with nature or the outdoors?,0.504
Is a language or linguistic detail mentioned?,0.504
Is there mention of a family or personal relationship?,0.504
Is a meal being prepared or cooked?,0.504
Does the story talk about a friendship or relationship ending?,0.502
Does the sentence involve a logical paradox?,0.5
Does the input express surprise or disbelief?,0.499
Does the text involve a safety or security measure?,0.498
Does the input involve planning or organizing?,0.498
Does the text involve a personal challenge or goal being achieved?,0.495
Does the sentence reference a specific time of day?,0.494
Does the text include a prediction or expectation?,0.493
Is a moment of solitude or reflection described?,0.493
Does the sentence include a comparison or simile?,0.492
Is there a reference to a childhood memory?,0.492
Does the text describe an act of kindness?,0.491
Does the sentence express a moment of defiance or resistance by the narrator?,0.49
Is there mention of a personal hobby or interest?,0.49
Is there a depiction of an urban or rural difference?,0.489
Does the input discuss educational content or learning?,0.486
Is the input about a scientific discovery or concept?,0.486
Is there a depiction of a public speaking or performance event?,0.482
Does the input discuss a technology trend or future prediction?,0.482
Is there a depiction of a relaxing or peaceful moment?,0.482
Is the input about a discovery or realization?,0.481
Does the sentence contain a negation?,0.479
Does the sentence describe an artistic or creative activity?,0.479
Does the text involve a journey by foot?,0.474
Is the sentence related to environmental issues?,0.474
Is there a mention of a natural disaster?,0.474
Does the sentence include an idiom?,0.473
Does the input discuss a fashion trend or style advice?,0.472
Does the text mention a piece of advice?,0.471
Does the input discuss a personal goal or aspiration?,0.471
Is there an expression of love or affection?,0.47
Is the sentence about a current event or recent news?,0.469
Is the input expressing a wish or desire?,0.469
Is technology or innovation discussed in the input?,0.466
Is there a mention of a physical object or item?,0.463
Does the text include a reference to a sport or athletic activity?,0.463
Does the sentence reference historical events?,0.463
Does the text include a reference to a famous painting or sculpture?,0.462
Is the sentence in the active voice?,0.462
Does the sentence describe an animal or involve animals?,0.462
Does the input involve the creation or invention of something?,0.462
Is there a mention of a gift or present?,0.462
Does the input express a political or social opinion?,0.461
Does the text involve a financial challenge or setback?,0.461
Is a specific location referred to in the input?,0.46
Does the input discuss an environmental issue or conservation effort?,0.46
Does the sentence involve a negotiation or compromise?,0.459
Is there a mention of a childhood aspiration or dream job?,0.459
Does the sentence convey a decision or choice made by the narrator?,0.459
Is the sentence describing a misunderstanding or confusion?,0.457
Is there an expression of pride or self-esteem?,0.456
Does the sentence describe a lesson learned or insight gained by the narrator?,0.456
Is a superstition or myth discussed?,0.455
Does the input involve a vehicle or mode of transportation?,0.455
Is there a description of a childhood toy or game?,0.455
Is a specific tool or equipment mentioned?,0.454
Is an educational lesson or class described?,0.453
Is there an expression of fear or anxiety?,0.453
Does the sentence contain a contradiction?,0.453
Does the sentence involve a social interaction?,0.453
Does the sentence describe an interaction that is significant to the narrator's development?,0.453
Does the input describe a moment of cultural shock or adaptation?,0.453
Is there a discussion of a psychological concept or mental health issue?,0.451
Is the sentence humorous?,0.451
Does the sentence involve moral reasoning?,0.449
Does the input mention a change in a relationship?,0.449
Is an environmental concern or issue mentioned?,0.449
Is there a mention of a future plan or intention?,0.447
Does the input mention a piece of furniture or home decor?,0.447
Does the input involve a scientific experiment or research study?,0.446
Does the text describe a form of therapy or healing?,0.446
Is there a discussion of a lesson learned or wisdom gained?,0.445
Does the input describe a nighttime setting?,0.445
Does the sentence involve a personal preference or taste?,0.444
Does the sentence reference a specific time or date?,0.443
Does the input discuss a collaboration or team effort?,0.442
Is there a description of a unique or unusual event?,0.442
Is a professional or career-related decision discussed?,0.441
Does the story involve a form of meditation or mindfulness?,0.441
Does the sentence describe a routine activity?,0.441
"Is there a reference to a myth, legend, or folklore?",0.44
Is a cultural event or festival mentioned?,0.44
Does the input describe a form of local or community service?,0.439
Does the input involve a puzzle or problem to solve?,0.439
Is hair or clothing mentioned in the input?,0.437
Is the sentence grammatically complex?,0.437
Is an unexpected discovery or surprise mentioned?,0.436
Does the text mention a form of alternative transportation?,0.435
Does the sentence describe a sensory experience?,0.435
Does the sentence relate to personal health or bodily functions?,0.434
Does the sentence describe a dream or fantasy?,0.433
Does the text mention a plant or gardening?,0.432
Is the sentence expressing admiration or praise?,0.431
Does the input involve a cultural festival or event?,0.431
Does the input describe a body of water?,0.429
Is an art or craft mentioned?,0.429
Does the input discuss a natural disaster or emergency situation?,0.429
Is there a reference to a cultural tradition or practice?,0.428
Is there a comparison or metaphor?,0.426
"Is there a mention of a book, movie, or song?",0.425
Does the sentence contain words with strong visual imagery?,0.425
Does the sentence describe an art or craft technique?,0.424
Does the input describe a moment of realization or epiphany?,0.424
Is a conflict or problem introduced?,0.423
Is there a depiction of a dream or nightmare?,0.422
Does the input involve a critique or review of something?,0.422
Is there an expression of loyalty or commitment?,0.421
Does the input discuss a craft or DIY project?,0.421
Does the sentence reference a specific location or place?,0.42
Does the story mention a form of entertainment?,0.419
Does the sentence express anger or frustration directed at a specific situation or person?,0.419
Is the sentence abstract rather than concrete?,0.419
Does the story involve a retreat or getaway?,0.419
Is a specific chemical or substance mentioned?,0.418
Is a personal or family recipe mentioned?,0.417
Is there a discussion about the future or predictions?,0.417
"Is the sentence reflective, involving self-analysis or introspection?",0.415
Is there a mention of a new beginning or start?,0.415
Does the input include a comparison or metaphor?,0.414
Does the story describe a work or school setting?,0.413
Is there stuttering or uncertainty in the input?,0.413
Does the input mention a specific event or festival?,0.413
Is the sentence intentionally vague or ambiguous?,0.412
Does the input mention a friendship?,0.411
"Is there a mention of a geographical feature, like a mountain or river?",0.411
Does the sentence describe a scenic view or landscape?,0.41
Does the sentence contain a question that encourages reflection?,0.41
Is the sentence describing a moment of realization or epiphany?,0.409
Is there a first-person pronoun in the input?,0.408
Does the story talk about a vacation or travel experience?,0.408
Is a cultural or societal norm discussed?,0.408
Is a specific form of literature or writing style mentioned?,0.408
Does the story talk about a personal challenge?,0.407
Is the sentence designed to persuade or convince?,0.407
Does the sentence mention a specific location?,0.406
Does the story involve planning or preparing for an event?,0.405
Does the input mention laughter?,0.405
Is the input about a relationship with another person?,0.402
Is the sentence describing a physical sensation experienced by the narrator?,0.402
Is there a mention of music or dancing?,0.4
Does the text mention a form of manual labor or craft?,0.399
"Is there mention of a concert, play, or live performance?",0.399
Does the sentence use past tense?,0.399
Is a famous quote or saying referenced?,0.399
Is there a discussion of a family tradition or custom?,0.398
Is there a mention of reading or writing?,0.398
Does the input discuss an act of kindness or charity?,0.397
Is a fear or phobia expressed?,0.397
Does the input contain advice or recommendations?,0.397
Does the story include a portrayal of a city or urban setting?,0.396
Is there mention of a personal challenge or obstacle overcome?,0.396
Does the text include a reflection on past events?,0.395
Is someone running in the input text?,0.395
Does the sentence express a personal fear or anxiety?,0.395
Does the sentence involve a health or wellness practice?,0.394
Does the sentence contain a question?,0.394
"Is there mention of a political event, policy, or figure?",0.394
Is there an expression of surprise?,0.392
Does the input mention a social or community issue?,0.392
Does the sentence require inferential reasoning to understand?,0.392
Is the sentence involving a risk or dare?,0.391
Is there a depiction of a routine or habit?,0.391
Does the input describe a scenic view or panorama?,0.391
Is there an expression of hope or optimism?,0.389
Is the input about a social or community event?,0.388
Does the sentence include a metaphor?,0.386
Does the input mention a specific animal species?,0.385
Is a friendship being formed or ending?,0.385
Is a significant historical period or event described?,0.383
Is the sentence related to fashion or personal style?,0.382
Does the input involve an outdoor activity or adventure?,0.381
Does the input involve gardening or plant care?,0.38
Is a personal philosophy or worldview expressed?,0.38
Does the sentence mention a unique or unusual experience?,0.38
Is there a mention of a game or sport?,0.379
Does the story include an act of bravery or courage?,0.379
Is the sentence related to food or eating?,0.378
Does the input contain repetition?,0.378
Does the story describe a ceremony or ritual?,0.378
Is the sentence mentioning a pet or domestic animal?,0.378
"Is there a reference to music, either listening or playing?",0.378
Does the input discuss a personal limitation or weakness?,0.377
Does the story describe a shopping experience?,0.377
Does the story describe a building or architecture?,0.377
Does the sentence describe a common fear or phobia?,0.376
Does the sentence describe weather conditions?,0.376
Does the sentence use future tense?,0.375
Is the input related to physical injury or trauma?,0.375
Is the input about a misunderstanding or assumption?,0.374
"Does the sentence express a moment of forgiveness, either giving or receiving?",0.373
Does the text mention a fitness or sports achievement?,0.373
Does the input discuss a societal issue or social justice topic?,0.373
"Is there mention of a book, film, or television show?",0.37
Is cooking or a recipe discussed in the input?,0.369
Does the input discuss a business or entrepreneurial venture?,0.368
Does the sentence describe a common superstition or myth?,0.368
Does the input mention a cultural or societal norm?,0.368
Is the input related to food preparation?,0.368
Is there a reference to a specific individual or public figure?,0.368
Does the sentence express hope or aspiration for the future?,0.367
Does the input express empathy or compassion?,0.367
Does the input express feelings of sadness?,0.367
Does the input reference an event or phenomenon in nature?,0.367
Does the sentence describe an ethical dilemma?,0.365
"Is there a reference to a diet, nutrition, or food choice?",0.365
"Is a significant life event, like a wedding or graduation, mentioned?",0.365
Is there a mention of a scientific fact or concept?,0.365
Does the text involve a financial transaction?,0.364
Does the input contain humor or sarcasm?,0.363
"Is a natural phenomenon, like an eclipse or meteor shower, described?",0.363
Is there a mention of a significant weather event?,0.362
Is the sentence expressing a wish or desire for something to be different?,0.362
Does the sentence describe a travel experience?,0.362
Is the sentence giving advice or a suggestion?,0.361
Does the input contain a question?,0.361
Is there any mention of a dream or aspiration?,0.361
Is the sentence conveying the narrator's admiration or respect for another character?,0.36
Is a mathematical concept or number mentioned?,0.359
Does the input mention a political or social issue?,0.358
Does the input discuss a personal achievement or milestone?,0.358
Does the input involve a game or recreational activity?,0.358
Does the sentence mention a mode of transportation?,0.355
Is there a reference to a past event?,0.355
Does the story involve a technological problem or solution?,0.355
Does the sentence contain emotionally charged words?,0.355
Is the sentence describing a routine or habit?,0.355
Does the text describe a form of transportation?,0.354
Does the input discuss travel or exploration?,0.353
Is there an expression of surprise or unexpected outcome?,0.353
Is there a mention of a fictional character or story?,0.352
Does the story describe a personal crisis or emergency?,0.351
Does the story mention a craft or DIY project?,0.351
Is a specific historical figure or leader mentioned?,0.35
Is there a description of weather conditions?,0.35
Is a mythical or legendary story referenced?,0.348
Does the story mention an act of charity or volunteering?,0.348
Is there a depiction of a physical activity?,0.347
Does the input express disappointment or dissatisfaction?,0.346
Does the text describe an adventure or risky activity?,0.346
Does the sentence describe a creative or artistic activity?,0.344
Is a family member mentioned?,0.343
Is a historic landmark or monument described?,0.342
Does the input describe a problem or challenge?,0.341
Does the sentence express longing or nostalgia?,0.34
Does the input describe a scientific experiment or discovery?,0.338
Does the input include an expression of disappointment?,0.338
Is there a mention of a space or astronomical phenomenon?,0.338
Does the input involve a craft or handiwork project?,0.337
Does the input involve a financial topic or economic concept?,0.337
Is there any mention of weather or climate conditions?,0.337
Does the story mention a form of public transportation?,0.337
Does the sentence use a common cliché?,0.337
Is there a reference to a dream or aspiration?,0.337
Is there a description of a meal?,0.336
Is the sentence referencing legal matters or rights?,0.336
Is a sport or physical activity mentioned in the input?,0.335
Is a cultural practice or tradition mentioned?,0.335
Does the input include a reference to a book or movie?,0.335
Is there a reference to a personal idol or role model?,0.335
Does the sentence express confidence or certainty?,0.334
Does the input involve animals or wildlife?,0.332
Is the sentence describing a craft or DIY project?,0.332
Does the text describe a hobby in detail?,0.331
Does the text involve a change in perspective or attitude?,0.33
Is a moment of comedy or humor described?,0.33
Is the sentence part of a legal document or text?,0.33
Does the story mention a childhood memory?,0.33
Does the sentence include a cultural reference or idiom?,0.329
Is a moment of unexpected kindness or generosity described?,0.329
Does the sentence describe a character in a story?,0.329
Is the sentence describing a moment of vulnerability or weakness?,0.329
"Is there a reference to space, astronomy, or the universe?",0.327
Does the input discuss a breakthrough in medical research?,0.326
Does the input describe an emotional support or comfort?,0.325
Does the input describe a moment of teamwork or collaboration?,0.325
Does the input involve a fitness routine or exercise?,0.325
Is there a reference to a social media trend or online phenomenon?,0.324
Does the input mention any form of art or artistic activity?,0.323
Is the sentence part of a narrative?,0.322
Does the input involve a financial planning or investment strategy?,0.321
Does the sentence describe a technological concept?,0.319
Is the input expressing gratitude or thanks?,0.319
Is there a mention of a hobby or interest?,0.318
"Is there mention of a war, battle, or military event?",0.318
Is an outdoor activity mentioned?,0.316
Is there a mention of a puzzle or mystery?,0.316
Is a piece of technology described?,0.316
Does the sentence describe the narrator's creative process or artistic inspiration?,0.313
Does the story mention a form of art or exhibition?,0.312
Is a religious or spiritual practice mentioned?,0.31
Is a specific season described?,0.309
Is the input mentioning an animal?,0.307
Does the sentence describe a scientific experiment or finding?,0.307
Is there a mention of a tradition or custom?,0.307
Is a holiday or celebration mentioned?,0.306
Does the sentence use an unusual syntactic structure?,0.306
Does the sentence describe an event with emotional significance?,0.306
Does the input contain negativity?,0.304
Is the sentence related to sports or physical exercise?,0.303
Is there a mention of a place of worship or religious practice?,0.303
Does the input involve a historical event?,0.303
Is the sentence focused on a memory from the past?,0.302
Is a historical figure or leader mentioned?,0.3
Is the sentence repetitive or redundant?,0.298
Is a personal transformation or change described?,0.297
Does the text talk about a hobby or pastime?,0.297
Does the input involve a coding or programming concept?,0.296
Is a holiday or celebration referenced in the input?,0.296
Does the sentence express gratitude or appreciation for something or someone?,0.293
Is a form of leisure or relaxation described?,0.292
Is there mention of a public service or community project?,0.292
Is there a description of a technological device or app?,0.291
Does the input mention a form of artistic expression?,0.289
Is a scientific concept or theory mentioned?,0.288
Does the story involve a game or sport?,0.286
Is there a reference to physical health or fitness?,0.286
Does the input discuss a health-related issue or wellness?,0.284
Is there a mention of a specific food or drink?,0.283
Is the sentence emotionally negative?,0.282
Does the story talk about a misunderstanding or confusion?,0.281
Does the input discuss environmental concerns or issues?,0.28
Does the sentence describe a challenge or obstacle overcome?,0.279
Is there a discussion of a technological problem or bug?,0.278
Does the text describe a personal achievement?,0.278
Does the sentence describe a natural phenomenon?,0.278
Does the text involve a financial goal or saving?,0.275
Is a specific type of animal described?,0.274
Does the input discuss a health issue or concern?,0.274
Is a supernatural or paranormal event discussed?,0.272
Is there a reference to a famous work of literature or author?,0.272
Is the sentence expressing confusion or uncertainty?,0.271
Does the input describe an animal?,0.27
Does the input contain emotional words?,0.27
Is there a mention of a musical experience or concert?,0.269
Is the input reflecting on a personal change or growth?,0.268
Does the sentence describe a landscape or natural feature?,0.268
Is a culinary experience or taste described?,0.267
Is there a mention of a gadget or piece of technology?,0.266
Is a specific piece of technology or gadget mentioned?,0.265
Does the story talk about a personal sacrifice or compromise?,0.264
Does the sentence describe a personal preference?,0.264
Is there a mention of a historical event?,0.262
Does the input discuss a moral or ethical dilemma?,0.261
Does the input involve a financial transaction or discussion?,0.257
Does the input express gratitude?,0.257
Is there a mention of a hobby or leisure activity?,0.254
Is there mention of a religious or spiritual theme?,0.253
Is the sentence highlighting a contrast between the narrator's past and present self?,0.25
Is a personal goal or objective mentioned?,0.239
Is the sentence emotionally positive?,0.233
Does the story mention a health issue or injury?,0.232
Is there an expression of frustration or annoyance?,0.222
Does the sentence describe a personal achievement or milestone?,0.206
Is a seasonal holiday or event described?,0.199
Is the input about a personal achievement or milestone?,0.196
